Fred Hubbell,"[172000, 559989]"
Dean Phillips for Congress,"[6, 36]"
SEIU MN State Council,"[5, 27]"
Jim Hagedorn,"[5, 10]"
Greenpeace USA,"[4, 56]"
PR (Proportional Representation) Party,"[4, 22]"
Independent Voter,"[4, 20]"
Cory Hoffman For State Rep,"[3, 16]"
Ocean Conservancy,"[2, 60]"
Claire McCaskill,"[2, 33]"
Save Your Home Now,"[2, 12]"
Mary Jane Caylor for City Council,"[2, 11]"
Janet Mills,"[2, 11]"
Congressional Leadership Fund,"[2, 11]"
USA for UNHCR,"[2, 10]"
America First Action,"[2, 10]"
Buffy Wicks,"[2, 9]"
Priorities USA Action,"[2, 8]"
Right Now USA Superpac,"[2, 5]"
Mark Pinsley,"[1, 6]"
Ruth Richardson for House 52B,"[1, 5]"
Ginger Garner for NC Senate,"[1, 4]"
Jill Norgaard for AZ House,"[1, 3]"
Anna For Florida,"[1, 3]"
Dan DeBono for Congress,"[1, 2]"
Democratic Party,"[0, 24455]"
Alan Feirer for Madison County Iowa Supervisor,"[0, 4995]"
Ben Hanson for Fayette County Supervisor,"[0, 2918]"
WesleyLife,"[0, 999]"
Ryan Marquardt for Iowa House,"[0, 999]"
Jake Porter,"[0, 999]"
Elect Rogers Kirk Jr.,"[0, 999]"
Democratic Association of Secretaries of State,"[0, 999]"
Co-ops Vote,"[0, 999]"
MoveOn,"[0, 549]"
Askov Finlayson,"[0, 451]"
Ivory Ella,"[0, 333]"
Kentucky Family Values,"[0, 250]"
David Baria for Mississippi,"[0, 221]"
Framed Tweets,"[0, 164]"
EMILY's List,"[0, 149]"
Chris Pappas for Congress,"[0, 144]"
Ro Khanna,"[0, 105]"
Power In Cooperation,"[0, 95]"
Shield Republic,"[0, 76]"
Patriot Depot,"[0, 49]"
Definition.org,"[0, 41]"
Oxfam,"[0, 34]"
Justice Democrats,"[0, 25]"
CRTV Tonight with Gavin McInnes,"[0, 24]"
Guardian Labs,"[0, 22]"
President Donald Trump Fan Club,"[0, 21]"
Pfizer,"[0, 19]"
Everytown for Gun Safety,"[0, 18]"
Lori Braucks - Hastings At Large City Council Member,"[0, 17]"
U Know U Need This,"[0, 16]"
Source Politics,"[0, 15]"
Democrats,"[0, 15]"
Adam Schiff,"[0, 14]"
Military Officers Association of America (MOAA),"[0, 13]"
Disrupt Aging,"[0, 13]"
Joe Kennedy III,"[0, 12]"
Christian Democrats of America,"[0, 11]"
Armed American Supply,"[0, 9]"
Jeff Johnson,"[0, 8]"
Diane Mitsch Bush for Colorado CD3,"[0, 7]"
Civic Action Network,"[0, 7]"
Josh Harder,"[0, 6]"
Gail Young for North Carolina,"[0, 6]"
Dana Balter for Congress,"[0, 6]"
Notorious Rbg - Protect Women Power,"[0, 5]"
No Kid Hungry,"[0, 5]"
Lupe Valdez,"[0, 5]"
CARE,"[0, 5]"
Alliance for a Better Minnesota,"[0, 3]"
Linsey Fagan for Texas,"[0, 2]"
Andy Kim for Congress,"[0, 2]"
Pennsylvania Association of Realtors,"[0, 1]"
