,601119000
"Zen Brands International, LLC",6394000
NRDC Action Fund,6372000
Coloradans for Fairness,6364000
Jeff Merkley for Oregon,6336000
Rosen for Nevada,6320000
Energy Citizens,6312000
UnitedHealthcare,6275000
The Years Project,6273000
Cynthia for New York.,6220000
Human Coalition,6187000
IVN News,6157000
The Kim Reynolds For Iowa Committee,6120000
Hoover Institution,6115000
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",6104000
American Action Network.,6091000
When We All Vote,6078000
Amnesty International USA,6067000
Progress Michigan,6055000
45 Hats,6051000
Friends of Scott Walker,6027000
YouGov,5995000
Brindisi for Congress,5989000
Dinesh D'Souza,5964000
Rick Scott for Florida,5955000
Working Families Party,5954000
Tim Walz for Governor,5912000
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,5908000
Welcome.us,5905000
Consumer Alert Services,5882000
Pol. Ad Texans for Greg Abbott,5873000
the Republican National Committee,5859000
NumbersUSA,5858000
"Uber Technologies, Inc",5800000
the DSCC,5773000
Coloradans for Responsible Energy Development,5718000
STAND FLAG POLES,5650000
"Protecting Colorado's Environment, Economy, and Energy Independence",5629000
T-Mobile,5614000
DeWine Husted for Ohio,5611000
The Humane Society of the United States,5599000
Collier for Lt. Governor ,5556000
Yes on Proposition 68 ,5534000
National Partnership for Women & Families,5479000
Federal Voting Assistance Program,5460000
Tammy Baldwin for Senate,5422000
2A4LIFELLC,5400000
Floridians for a Fair Shake,5392000
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",5384000
the Republican Party of Florida.  Not authorized by any candidate or candidate's committee.,5361000
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",5350000
Sinema for Arizona,5327000
Amendment 2 is For Everybody,5321000
The Nib,5250000
Bob Casey for Senate,5241000
Oceana,5234000
Marsy’s Law for Florida,5215000
"Planned Parenthood Action Fund, 123 Williams St, NY NY 10038. Not authorized by any candidate or candidate's committee.",5170000
Yes! To Affordable Groceries ,5150000
The Coalition to Protect Patient Safety,5147000
SEIU,5128000
Americans for Prosperity Foundation,5076000
"American Federation of State, County and Municipal Employees",5059000
2A4LIFE LLC,5044000
Eminent Series Group,5040000
No on Prop 6: Stop the Attack on Bridge & Road Safety,5034000
"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",5029000
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,4969000
O’Connor for Congress,4956000
Voters in Charge,4955000
Fight Back Fund,4941000
Scott Wagner For Governor,4920000
Harder for Congress,4902000
JVMI,4894000
Donnelly for Indiana,4887000
"End Citizens United, 202-798-5253. Not authorized by any candidate or candidate's committee.",4858000
Likewise Media,4855000
Alexandria Ocasio-Cortez 2018,4855000
Philadelphians for a Fair Future,4845000
The Western Journal,4844000
FirstQuoteHealth,4836000
America's Navy,4808000
Ocean Conservancy,4797000
The Mackinac Center for Public Policy,4779000
Heller for Senate,4767000
Conservative Tribune,4763000
Tina Smith for Minnesota,4725000
Ducey for Governor ,4722000
Giving Brush LLC,4666000
Colorado United for Families,4661000
the NRCC and not authorized by any candidate or candidate’s committee.,4642000
"the Michigan Democratic State Central Committee | 606 Townsend St. Lansing, MI 48933",4619000
Nine Line Apparel,4616000
Fight for $15,4616000
Katie Hill for Congress,4608000
"Strong Wisconsin, not authorized by any candidate or candidate's agent or committee.",4540000
"ASMDSS, Inc",4540000
People United for Privacy,4539000
FreightWaves,4519000
Nevada Priorities.,4512000
"Planned Parenthood Votes, 123 Williams St, NY NY 10038. Not authorized by any candidate or candidate's committee.",4493000
Randy Bryce for Congress,4432000
NC Common Ground,4422000
"A Minnesota for All of US, P.O. Box 7042, St. Paul MN 55107 and not prepared on behalf of or in consultation with any candidate",4419000
"National Shooting Sports Foundation, Inc.",4357000
FRIENDS OF GENTNER DRUMMOND 2018,4341000
Hulu,4310000
Texans for Natural Gas,4295000
Friends of the Earth,4287000
Stand Up America,4286000
Airbnb,4285000
Cathy for Congress,4258000
Marsha for Senate,4253000
Building a Stronger Nevada,4251000
"Bill Lee for Tennessee, Inc. - Fred Decosimo, Treasurer",4251000
One Nation Design,4233000
ConocoPhillips Company,4223000
Rustic Edge Marketing,4221000
Nevadans for a Clean Energy Future,4211000
Elissa Slotkin for Congress,4208000
Johnson For Governor,4205000
"Marsy’s Law for Pennsylvania, LLC",4192000
Patriotic Drop Shop,4189000
Illinois Policy ,4144000
Pfizer,4128000
Priorities USA Action. 202-904-0620. Not authorized by any candidate or candidate’s committee.,4112000
the National Education Association,4081000
Diane Black for Governor,4080000
For Our Families,4072000
the Devin Nunes Campaign Committee,4051000
Union of Concerned Scientists,4016000
" John James for Senate, inc.",3972000
Parks Project,3968000
Media Research Center,3939000
LeadingResponse,3938000
Mikie Sherrill for Congress,3934000
Center for Western Priorities,3921000
Reform California,3905000
We Are The Mighty,3901000
Catholic Relief Services,3897000
"Bob Hugin for Senate, Inc.",3897000
Dissent Pins,3890000
Progressive Turnout Project,3877000
"Dr. Jeff Colyer for Governor, Howard Wizig, Treasurer",3856000
Defenders of Wildlife,3852000
America First Policies,3845000
Jane Velez-Mitchell,3841000
Cisneros for Congress,3837000
"No on Prop 10 – A Flawed Initiative That Will Make The Housing Crisis Worse, a coalition of housing advocates, renters, large and small businesses, taxpayer groups, and veterans. ID# 1406422",3836000
Cory Booker for Senate ,3836000
Save The Storks,3834000
The Committee to Elect Hageman for Governor ,3832000
"David Trone For Congress, Inc. ",3817000
Bill Schuette for Governor,3817000
the Committee to Elect Josh Zakim,3815000
Villaraigosa for Governor 2018,3785000
"DAVID STEMERMAN FOR GOVERNOR, INC. HENRY SCHAFFER, TREASURER. APPROVED BY DAVID STEMERMAN.",3779000
"Matt Caldwell, Republican, for Commissioner of Agriculture",3776000
ReBuild USA,3772000
"John Kingston for Senate, Inc.",3758000
"Marsy’s Law for North Carolina, L.L.C.",3731000
Donald J. Trump - online store for campaign gear,3719000
Citizens Clean Elections Commission,3710000
Andy Kim for Congress,3702000
Priorities USA Action and Senate Majority PAC. Not authorized by any candidate or candidate's committee.,3695000
Kevin McCarthy for Congress,3686000
National Audubon Society,3671000
The Office of the Indiana Attorney General,3670000
"Marsy’s Law for Kentucky, LLC",3655000
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",3655000
Giffords PAC.,3625000
Dean Phillips for Congress,3619000
Friends of Gina Raimondo.,3616000
the Tea Party Nation and is not authorized by any candidate or candidate's committee.,3615000
"Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair",3610000
New American Media Group LLC,3608000
Aftab for Ohio,3593000
Defend Arizona. ,3585000
Mike Braun for Indiana,3580000
USPS,3577000
the California Democratic Party,3547000
CFG Action Wisconsin,3540000
FreedomWorks,3524000
DoSomething,3523000
Paramount Network,3517000
Pennsylvania Taxpayers Dollars,3515000
Patriot Depot,3511000
EMILY's List,3478000
Friends for Kathy Hochul,3475000
"Stand for Children, Inc.",3467000
Indivisible Action,3466000
Tax March,3443000
Club for Growth Action,3438000
Finance Watch Dogs,3421000
Environmental Defense Action Fund,3418000
Friends of Ron DeSantis,3417000
"Beth Harwell for Governor, David Ingram, Treasurer",3416000
NextGen Climate Action,3400000
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,3392000
Californians For Eleni Kounalakis For Lieutenant Governor 2018,3380000
Susan Wild for Congress,3373000
PowerPAC Georgia,3370000
"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",3361000
Young America's Foundation,3358000
Dodson for Senate – Wyoming First,3353000
The Commonwealth Foundation,3340000
Priorities USA Action. Not paid for or authorized by any candidate.,3340000
I Love My Freedom,3326000
Lambda Legal,3311000
Great America PAC,3300000
"Marsy's Law for Idaho, L.L.C",3291000
Matt Haggman for Congress,3286000
U.S. Chamber of Commerce,3283000
Minnesotans for Line 3,3279000
"Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",3275000
Illinois Working Together,3275000
Noble Energy,3261000
The Brookings Institution,3243000
"Chris King, Democrat, for Governor",3236000
"Tony for Wisconsin. Connie Hutchison, Treasurer.",3228000
"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidates campaign committee.",3223000
Geoff Duncan for Georgia,3211000
PhRMA,3204000
FCTRY,3185000
the Voter Participation Center,3182000
Immigrant Voters Win PAC,3181000
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,3179000
Kate Brown Committee,3177000
NRSC. Not authorized by any candidate or committee.,3163000
Federation of American Hospitals,3162000
Energy in Depth,3159000
Good Media Group,3155000
The Atlas Society,3154000
Joe Walsh,3122000
Indiana Commission for Higher Education,3120000
Kinder World,3113000
The League of Wisconsin Municipalities,3110000
New York State Senate Republican Campaign Committee,3106000
" FLORIDIANS FOR A FAIR DEMOCRACY, INC., 3000 GULF-TO-BAY BLVD., SUITE 503 CLEARWATER, FL 33759",3100000
Patagonia ,3075000
New York State SRCC,3072000
Hubbell for Governor,3062000
Comstock for Congress,3040000
NRSC and not authorized by any candidate or candidate’s committee,3037000
Hawthorne Gardening Co. ,3026000
FRIENDS OF SCOTT WALKER,3009000
the Leadership Conference on Civil and Human Rights ,3005000
Environmental Defense Fund,2987000
WOMEN VOTE!,2974000
No on Prop 10: Californians for Responsible Housing,2961000
Laborers Building a Better New York,2946000
the Democratic Governors Association.,2943000
AZ Counties Solar Program,2937000
New Jersey Education Association. ,2932000
"The Teachers For Kennedy Independent Expenditure Committee, Ashley Stevens Registered Agent. Not Authorized By Any Candidate.",2930000
"HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",2922000
Cort Vanostran for Congress,2915000
Likewise,2911000
Anti-Defamation League,2911000
Everytown for Gun Safety Support Fund,2894000
"Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ",2893000
"FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",2889000
Colorado Values Project,2888000
Cold Dead hands of America,2887000
Solar Programs In Ca Counties,2880000
"Denise Grimsley, Republican, for Commissioner of Agriculture and Consumer Services.",2871000
Affordable Housing Now Yes on Props 1 & 2 Coalition,2867000
For Our Future Action Fund,2852000
Arkansans for Jobs and Justice ,2846000
TRAVIS ALLEN FOR GOVERNOR 2018,2835000
the New Jersey Education Association. ,2817000
"Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105",2798000
Paid for by Americans for Prosperity,2791000
Stitt for Governor 2018,2789000
PrintedKicks,2779000
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,2755000
official funds authorized by the House of Representatives.,2753000
Ben Ferguson Show,2753000
Concerned Veterans for America,2750000
"GOAL SD: San Diegans for the River Park, School Funding, Soccer, and a Tax-Free Stadium",2749000
the Public Sector Union Alliance,2736000
Live Action,2718000
The Southern Environmental Law Center ,2697000
Lisa Brown for Congress,2687000
Animal Matters,2686000
McMaster for Governor,2685000
"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate.",2669000
DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee.,2669000
"Citizens for Truth About Amendment 3, Inc., 601 S. Boulevard, Tampa, FL 33606",2660000
Trenton Don’t Touch My Insurance,2658000
"Samuel Bagenstos for Justice, 2370 E. Stadium Blvd., No. 310 Ann Arbor, MI  48104",2650000
"Color of Change PAC, colorofchangepac.org, not authorized by any candidate or candidate’s committee. ",2646000
"DCCC. 430 S. Capitol St SE, Washington, DC 20003. Not authorized by any candidate or candidate’s committee. ",2636000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,2633000
Brigade,2621000
CHC BOLD PAC,2613000
GLASSMAN FOR CORPORATION COMMISSION,2595000
Lemony Tree,2590000
Scott Taylor for US Congress,2579000
GOAL: San Diegans for the River Park School Funding Soccer and a Tax-Free Stadium,2575000
Armed American Supply,2562000
"This message has been authorized and paid for by Republican Governors Association, Michael G. Adams, Treasurer. This message has not been authorized or approved by any candidate or ballot issue committee.",2536000
NRSC. Not authorized by any candidate or candidate’s committee.,2536000
Big Think,2535000
"AEF Media, LLC",2533000
Indivisible Action FL,2531000
Ohio Education Association,2529000
Gina Ortiz Jones for Congress,2529000
Ranker,2521000
Judicial Crisis Network,2520000
Marsy’s Law for Nevada,2516000
Friends of Chris Murphy,2511000
Finkenauer for Congress,2492000
American Medical Association,2492000
Cheddar,2488000
Craig O'Dear for U.S. Senate,2487000
Freedom for All Massachusetts,2476000
Harley Rouda for Congress,2474000
Freedom Partners Action Fund,2469000
Missouri Rising Action. Not authorized by any candidate or candidate committee.,2466000
"Conservative Leadership Alliance, Inc.",2464000
Committee to Elect Dan Forest,2458000
Casey Cagle for Governor,2450000
AFL-CIO,2443000
Kind for Congress,2440000
"REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",2425000
Ammar Campa-Najjar for Congress.,2413000
the National Network of Abortion Funds,2401000
Diversity Incorporated,2400000
CFG Action Montana,2397000
Blue Wave 2018,2396000
Indiana Secretary of State,2377000
"Friends of Ron DeSantis, 1 Independent Drive, #1300, Jacksonville FL 32202.",2371000
Tactical Pro Supply,2368000
"Citizens for Truth About Amendment 3, Inc., 610 S. Boulevard, Tampa, FL 33606",2353000
National Solar Rebate,2352000
Cramer for Senate,2347000
 LeftAction,2344000
"Yes 4 Children's Hospitals, Yes on Proposition 4, sponsored by California Children's Hospital Association, committee major funding from Children's Hospital Los Angeles, Valley Children's Hospital, Children's Hospital of Orange County",2339000
American Action News,2329000
No Labels Action,2317000
Friends of Faber,2316000
"Marin Crops, LLC",2290000
"SOUTH DAKOTANS AGAINST HIGHER TAXES 320 E. CAPITOL AVENUE, PIERRE, SD 57501",2286000
Oral Health America,2267000
Andy Barr for Congress,2263000
Up for Growth Action,2261000
Build With Strength,2261000
Warren for Governor,2258000
Committee to Elect Jared Golden,2251000
Congressional Black Caucus PAC,2245000
The Wilderness Society Action Fund,2240000
The Committee to Defend The President,2239000
Scott Wallace for Congress,2233000
Reform Austin Inc.,2233000
Sand Cloud,2218000
NCADA,2200000
the Alliance for Michigan Power,2198000
"Kurt for Wisconsin, Christine Kober, Treasurer",2198000
"Tim Bjorkman for South Dakota, Dr. Tom Ortman, Treas.",2195000
For Our Future (ForOurFuturePAC.org). Not authorized by any candidate or candidate’s agent or committee.,2185000
Diversity Incorporated ,2175000
Stanton for Congress,2173000
"OAF Nation, Inc",2172000
Seth Moulton for Congress,2169000
State Solutions Incorporated.,2161000
Main Street Investors Coalition,2157000
Advance California,2151000
South Metro Denver Chamber of Commerce,2150000
the WNBA,2131000
Neal Simon for U.S. Senate,2130000
DCCC. (202) 863-1500. Not authorized by any candidate or candidate's committee.,2129000
the Environmental Working Group,2124000
Michigan Immigrant Rights Center,2123000
Service Employees International Union-United Healthcare Workers West (SEIU-UHW),2096000
Shatterproof,2090000
Military Officers Association of America (MOAA),2083000
Donna Shalala for Congress,2082000
"DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.",2078000
People Over Politics,2076000
Pennsylvania Association of Realtors®,2076000
The Baker Committee,2073000
End Citizens United Nonfederal,2070000
"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",2069000
"New Yorkers Together. Not expressly authorized or requested by any candidate, or by any candidate’s political committee or any of its agents.""",2065000
Rob Richardson for Ohio Treasurer,2063000
Dominion Energy,2060000
Pete King for Congress.,2047000
Calm Effect,2046000
Eric Eliason for Congress,2043000
Republicans for the Rule of Law,2029000
with regulated funds by Healthy and Productive Michigan,2021000
David Shafer For Georgia,2019000
"Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.",2002000
Oxfam America,2001000
"DCCC, 430 S. Capitol Street, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee. ",2000000
350 ,1995000
the Foundation for Independent Voter Education,1993000
THE ANGUS KING FOR U.S. SENATE CAMPAIGN,1989000
"Yes On 793, Inc. 4 NE 10th St #434 OKC, OK 73104 (405)510-7946",1981000
The National Wildlife Federation,1976000
Elise for Congress,1975000
Alan Wilson for Attorney General,1975000
Pensler for Senate,1967000
Smart Cities Prevail.,1964000
"Marsy’s Law for Wisconsin, LLC",1961000
AFSCME Nevada,1960000
Laxalt for Nevada,1957000
Florida Strong Action PAC independently of any candidate.,1951000
Rita Lucido for Texas Senate,1950000
Protect AR Families,1950000
"Carolina Leadership Coalition, Inc. Not Authorized by Any Candidate.",1946000
" FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",1938000
No on 112,1937000
"Conservation Ohio and not authorized by any candidate, candidate's committee, or political party",1929000
theSkimm,1926000
Committee to Ensure Safe Patient Care,1926000
The Markey Committee,1920000
Brut Media,1915000
Larry Sharpe for Governor,1907000
Wendy Rogers for Congress,1906000
The Auto Alliance,1906000
"The Chamberlain Project BQC 2018, PO Box 2122, South Portland, ME 04116",1905000
Blackburn Tennessee Victory Fund,1889000
Lupe Valdez for Governor,1886000
Rick Green for Congress,1884000
Bullsugar,1883000
PAID FOR BY TEMPLETON FOR GOVERNOR,1878000
New York State United Teachers,1866000
California Policy Center,1861000
Food & Water Watch,1854000
NRA Women,1853000
Super LTD,1850000
Kongregate,1847000
King County Elections,1838000
The Heritage Foundation ,1831000
UltimateStraw,1830000
Humane Society Legislative Fund,1823000
"Bill Walker for Governor and Byron Mallott for Lieutenant Governor, 601 w 5th Ave, Suite 200, Anchorage AK 99501",1817000
Friends of Sherrod Brown,1804000
"FRIENDS OF BERNARD CARVALHO • PO BOX 3510 LĪHUʻE, HI 96766",1803000
"America First Policies, Inc.",1803000
LifeZette Inc.,1798000
Rx Abuse Leadership Initiative,1795000
Kevin Meyer for Lt. Governor,1790000
"Young for Iowa, Inc.",1779000
Patriot Journal,1773000
Alaskans for Dunleavy,1771000
"America First Action, Inc. Not authorized by any candidate or candidate's committee.",1768000
Jeff Bleich for Lieutenant Governor 2018,1766000
Brian Watson for Colorado Treasurer,1764000
Jason Crow for Congress,1759000
Catalyst Oklahoma,1759000
Joann,1758000
"Marsy’s Law for Iowa, LLC, 400 East Court Avenue, Suite 110, Des Moines Iowa 50309 Emilio Gonzalez",1757000
Tom Steyer,1756000
the Friends of Jess King,1751000
New York Working Families Party,1749000
SoCal Daily Media,1741000
Spectrum News,1740000
"MONTANANS AGAINST TAX HIKES – NO ON I-185 CHARLES DENOWH, TREASURER P.O. BOX 4932, HELENA, MT 59604",1739000
Speak Out CNY,1738000
Citizens for Fair Tax Policy and not authorized by any candidate or candidate's committee.,1738000
Association for Accessible Medicines,1738000
Save Animals Facing Extinction,1737000
Martin Heinrich for Senate,1735000
 Patients And Caregivers To Protect Dialysis Patients,1735000
Californians for Safe and Affordable Housing,1732000
Chicago For Rahm Emanuel ,1730000
Florida Republican Senatorial Campaign Committee,1726000
Captains for Clean Water,1724000
National Parks Conservation Association,1722000
Duty and Country. Not authorized by any candidate or candidate’s committee.,1722000
Seniors Speak Out,1720000
Ken Harbaugh for Congress,1719000
Gayle McLaughlin for Lt. Governor FPPC#1396385,1718000
New Mexico Immigrant Law Center,1715000
"Pearce for New Mexico, James Francis Treasurer",1713000
Mercy For Animals,1712000
Diehl for U.S. Senate,1712000
Walden for Congress Inc.,1701000
Instagram,1700000
Save the Children US,1699000
Issue One Action,1696000
John Rose for Tennessee,1694000
the UFT,1691000
Good Jobs Nation,1686000
Delgado for Congress,1685000
Roskam for Congress Committee,1677000
National Shooting Sports Foundation,1674000
Business Roundtable,1673000
DIANE FOR COLORADO CD3,1672000
City of Albuquerque,1670000
Global Citizen,1666000
California Counties Solar Program,1664000
Texans for Dan Patrick,1663000
Carper for Senate,1659000
Chad Benson,1657000
FRIENDS OF SCHUMER,1656000
"New Mexicans for Michelle, Deborah Armstrong, Treasurer. ",1653000
Paid for by Dave Jones for Attorney General 2018,1652000
"Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",1651000
National Association of Manufacturers,1649000
"Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.",1648000
"the Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",1639000
SEIU on behalf of SEIU Florida,1638000
Gavin Newsom for Governor,1638000
the Committee to Elect Dan Koh,1635000
the Committee to Elect Ayanna Pressley,1632000
Healthy Living Initiative ,1627000
Californians for John,1627000
Wyden for Senate.,1624000
official funds authorized by the House of Representatives,1620000
"Ron DeSantis, Republican, for Governor. ",1617000
"Yoder for Congress, Inc.",1616000
Housley for Senate Committee,1611000
John Chiang for Governor 2018,1610000
Rebuilding America Now Super PAC,1607000
Painter Minnesota,1604000
Be a Hero PAC,1602000
"Our Next America, Inc.",1597000
World Food Program USA,1592000
DCCC. Not authorized by any candidate or candidate’s committee.,1589000
"Kansans for Kobach, Bob Dool, Treasurer.",1583000
Best Friends Animal Society,1581000
Defend Oregon,1565000
Essayli for Assembly 2018,1558000
The Committee to Elect Suraj Patel,1553000
Kanew For Congress,1553000
The Bill Galvin Campaign Committee,1542000
Oklahomans for Constitutional Integrity,1542000
Conservation International,1541000
SFT2 Tactical Supply,1540000
Kaniela Ing for Congress,1540000
PAID FOR BY TOM REED FOR CONGRESS,1537000
Southern Environmental Law Center,1528000
Matt Rosendale for Montana,1527000
John Wolfe for U.S. Senate,1527000
Clarion Project,1525000
"The Committee to STOP I-186 to Protect Miners and Jobs., P.O. Box 1585, Helena, Montana 59624. Bruce Vincent, Treasurer",1523000
Leadership MKE. Not authorized by any candidate or candidate’s agent or committee.,1515000
Alliance for Safety and Justice,1505000
