,39513400
"Philip Levine, Democrat, for Governor",66000
"American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.",65800
"DAVID STEMERMAN FOR GOVERNOR, INC. HENRY SCHAFFER, TREASURER. APPROVED BY DAVID STEMERMAN.",65700
Alexandria Ocasio-Cortez 2018,65600
Human Rights Campaign,65500
Aftab for Ohio,65100
Daily Wire,64600
Randy Bryce for Congress,64000
Bill Schuette for Governor,63800
"National Shooting Sports Foundation, Inc.",63700
Yes! To Affordable Groceries ,63600
"Color of Change PAC, colorofchangepac.org, not authorized by any candidate or candidate’s committee. ",63500
World Wildlife Fund,63400
The Mackinac Center for Public Policy,63400
Americans for Prosperity Foundation,63400
DCCC. Not authorized by any candidate or candidate’s committee.,63300
International Brotherhood of Teamsters,63100
NRSC and not authorized by any candidate or candidate’s committee,63000
America First Policies,63000
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",62700
Brigade,62600
YouGov,62200
New Jersey Education Association,62100
Harder for Congress,62100
Friends of Ron DeSantis,62100
"Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105",61400
Building a Stronger Nevada,61000
National Audubon Society,60900
Alliance Defending Freedom,60800
Oceana,60200
Levi Strauss & Co.,60000
Supporting American Values,59600
DeWine Husted for Ohio,59200
Hulu,59100
"Bill Lee for Tennessee, Inc. - Fred Decosimo, Treasurer",59100
the Leadership Conference on Civil and Human Rights ,58900
Proud Right Winger,58800
MoveOn.org Civic Action.,58600
CHC BOLD PAC,58600
New York State Senate Republican Campaign Committee,58400
the National Education Association,58300
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,58300
NRATV,58200
the New Jersey Education Association. ,58100
Solar Programs In Ca Counties,58000
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",57500
 LeftAction,57400
GOAL: San Diegans for the River Park School Funding Soccer and a Tax-Free Stadium,57200
Kevin McCarthy for Congress,56900
Tom Wolf for Governor,56800
Growth Energy.,56800
Donald J. Trump - online store for campaign gear,56300
Tim Walz for Governor,56200
NRSC,56200
Discover Charters,56000
Joann,54800
CFG Action Wisconsin,54800
"Strong Wisconsin, not authorized by any candidate or candidate's agent or committee.",54500
The Baker Committee,54400
Pensler for Senate,53800
"FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",53700
Indivisible Action FL,53500
Cathy for Congress,53500
Colorado Values Project,53100
I Love My Freedom,53000
NowThis,52700
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",52600
Likewise,52600
No Labels Action,52300
PhRMA,51400
Marsha for Senate,50700
Welcome.us,50600
Progress News Network,50600
People United for Privacy,50400
the Devin Nunes Campaign Committee,50000
Consumer Alert Services,49800
Boredom Therapy LLC,49700
The Hill,49500
Lemony Tree,49500
OZY Media,49300
Airbnb,49300
GLASSMAN FOR CORPORATION COMMISSION,49200
"End Citizens United, 202-798-5253. Not authorized by any candidate or candidate's committee.",48900
CFG Action Montana,48900
Blue Wave 2018,48600
South Metro Denver Chamber of Commerce,48500
"American Federation of State, County and Municipal Employees",48500
Reform California,48400
Indivisible Action,48400
For Our Future Action Fund,48400
Priorities USA Action. Not paid for or authorized by any candidate.,47900
Advance California,47800
Amendment 2 is For Everybody,47500
"Citizens for Truth About Amendment 3, Inc., 601 S. Boulevard, Tampa, FL 33606",47400
Up for Growth Action,46900
the Democratic Governors Association.,46800
Californians For Eleni Kounalakis For Lieutenant Governor 2018,46100
the Committee to Elect Josh Zakim,46000
Protect the House,45900
Kate Brown Committee,45800
the League of Women Voters,45600
" John James for Senate, inc.",45600
Hoover Institution,45500
SoCal Daily Media,45400
Healthy Living Initiative ,45400
AZ Counties Solar Program,45400
Cynthia for New York.,45200
End Citizens United Nonfederal,44900
"Citizens for Truth About Amendment 3, Inc., 610 S. Boulevard, Tampa, FL 33606",44900
"America First Action, Inc. Not authorized by any candidate or candidate's committee.",44900
Kind for Congress,44800
Ocean Conservancy,44700
C-SPAN,44700
"Marsy’s Law for Pennsylvania, LLC",44500
New York State SRCC,44400
Minnesotans for Line 3,44200
"Planned Parenthood Action Fund, 123 Williams St, NY NY 10038. Not authorized by any candidate or candidate's committee.",44100
"HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",44100
Cole Harris for LT. Governor 2018,44100
WOMEN VOTE!,43500
"The Teachers For Kennedy Independent Expenditure Committee, Ashley Stevens Registered Agent. Not Authorized By Any Candidate.",43500
Joe Kennedy for Congress.,43500
"Matt Caldwell, Republican, for Commissioner of Agriculture",43300
Real Justice PAC and not authorized by any candidate or candidate's committee.,43100
Fight Back Fund,43100
"the Michigan Democratic State Central Committee | 606 Townsend St. Lansing, MI 48933",42900
"Marsy’s Law for Oklahoma, LLC, 15 Enterprise, STE 550, Aliso Viejo, CA 92656",42900
Priorities USA Action. 202-904-0620. Not authorized by any candidate or candidate’s committee.,42600
Freedom Partners Action Fund,42400
Congressional Black Caucus PAC,42200
The Committee to Elect Hageman for Governor ,42100
Energy in Depth,42100
Friends of Faber,42000
Scott Wallace for Congress,41900
Tina Smith for Minnesota,41800
Tennesseans for Student Success. Not authorized by any candidate or candidate’s committee.,41800
Celebrity Voice Changer,41800
Friends of Chris Murphy,41700
TZ Insurance Solutions,41600
Elissa Slotkin for Congress,41600
"Our Next America, Inc.",41000
Freedom for All Massachusetts,41000
Affordable Housing Now Yes on Props 1 & 2 Coalition,41000
"Dr. Jeff Colyer for Governor, Howard Wizig, Treasurer",40800
Cory Booker for Senate ,40800
Bob Casey for Senate,40600
Likewise Media,40400
Speak Out CNY,40200
IVN News,39900
Anti-Defamation League,39900
NYS Laborers' LECET,39700
Texans for Natural Gas,39500
Blackburn Tennessee Victory Fund,39500
"Denise Grimsley, Republican, for Commissioner of Agriculture and Consumer Services.",39000
"Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",38900
"A Minnesota for All of US, P.O. Box 7042, St. Paul MN 55107 and not prepared on behalf of or in consultation with any candidate",38700
Susan Wild for Congress,38400
Reform Austin Inc.,38400
Environmental Defense Action Fund,38400
U.S. Chamber of Commerce,38200
NextGen Climate Action,38200
the Committee to Elect Dan Koh,38100
FRIENDS OF SCHUMER,38000
the Environmental Working Group,37900
Human Coalition,37900
"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidates campaign committee.",37900
Wendy Rogers for Congress,37700
No on Measure G: Stop the Oil and Gas Shutdown,37700
California Policy Center,37500
NRSC. Not authorized by any candidate or committee.,37400
Blair for Montgomery,37400
McMaster for Governor,37100
Comstock for Congress,37100
"New Yorkers Together. Not expressly authorized or requested by any candidate, or by any candidate’s political committee or any of its agents.""",37000
National Solar Rebate,36900
Diane Black for Governor,36800
USPS,36500
the DSCC,36100
Hubbell for Governor,36100
Arkansans for Jobs and Justice ,36100
Tea Party Patriots,36000
FreightWaves,35800
CALinnovates,35800
the Tea Party Nation and is not authorized by any candidate or candidate's committee.,35600
Conservation International,35600
Hawthorne Gardening Co. ,35500
Harley Rouda for Congress,35500
" FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",35400
Hometown Freedom Action Network,35300
Friends of Gina Raimondo.,35300
"Stand for Children, Inc.",35000
"Forward Majority Action 527 FL PAC, PO Box 15293, Washington, DC 20003, independently of any candidate. This advertisement was not approved by any candidate.",35000
Union of Concerned Scientists,34900
Humane Society Legislative Fund,34900
"Chris King, Democrat, for Governor",34800
New American Media Group LLC,34700
CHELE FARLEY FOR SENATE INC,34700
"America First Policies, Inc.",34700
"NBCUniversal Media, LLC",34500
Stapleton for Colorado,34400
The Pharmaceutical Research and Manufacturers of America,34200
Priorities USA Action and Senate Majority PAC. Not authorized by any candidate or candidate's committee.,34200
DCCC. (202) 863-1500. Not authorized by any candidate or candidate's committee.,34100
Citizens for Fair Tax Policy and not authorized by any candidate or candidate's committee.,34100
Convention of States Action,34000
Ken Harbaugh for Congress,33800
Dissent Pins,33800
Roskam for Congress Committee,33700
One Nation Design,33200
Lambda Legal,33200
Giving Brush LLC,33200
"DCCC. 430 S. Capitol St SE, Washington, DC 20003. Not authorized by any candidate or candidate’s committee. ",33200
Andrew Janz for Congress,33200
Good Jobs Nation,33000
Collier for Lt. Governor ,33000
Ben Ferguson Show,33000
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,32900
Be a Hero PAC,32900
TRAVIS ALLEN FOR GOVERNOR 2018,32800
T-Mobile,32800
Voters in Charge,32600
Dodson for Senate – Wyoming First,32500
 Patients And Caregivers To Protect Dialysis Patients,32400
Judicial Crisis Network,32000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,31800
FRIENDS OF GENTNER DRUMMOND 2018,31800
A Stronger Michigan. Authorized by Gretchen Whitmer.,31800
Friends of Sherrod Brown,31700
Environmental Defense Fund,31700
Citizens Clean Elections Commission,31500
New York State Laborers' Union,31400
official funds authorized by the House of Representatives.,31300
"SMP, and not authorized by any candidate or candidate’s committee.",31000
Federal Voting Assistance Program,31000
Pennsylvania Association of Realtors®,30800
Nevada Conservation League Political Action Committee.,30600
Lisa Brown for Congress,30200
Food & Water Watch,30200
EdVoice,30200
EMILY's List,30100
Florida Forward PAC,30000
Stitt for Governor 2018,29800
"Yes 4 Children's Hospitals, Yes on Proposition 4, sponsored by California Children's Hospital Association, committee major funding from Children's Hospital Los Angeles, Valley Children's Hospital, Children's Hospital of Orange County",29600
"DCCC, 430 S. Capitol Street, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee. ",29600
Connect Americans Now.,29600
Lupe Valdez for Governor,29500
FRIENDS OF SCOTT WALKER,29500
"John Kingston for Senate, Inc.",29400
Cort Vanostran for Congress,29100
Patriot Majority USA,29000
Alliance for Safety and Justice,29000
Republicans for the Rule of Law,28800
UPROXX,28400
Oxfam America,28300
AMERICAN CONSERVATIVE UNION,28300
the Democratic Party of Illinois,28200
Great America PAC,28200
Finkenauer for Congress,28200
Turning Point USA,28100
the Alliance for Michigan Power,28000
National Shooting Sports Foundation,27800
Patagonia ,27700
Chris Elliot for State Senate,27700
Villaraigosa for Governor 2018,27600
PowerPAC Georgia,27600
For Our Future (ForOurFuturePAC.org). Not authorized by any candidate or candidate’s committee.,27500
Hillsdale College,27400
"Beth Harwell for Governor, David Ingram, Treasurer",27400
 Strong Public Schools Nevada,27400
"REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",27300
Patriot Depot,27300
Laborers Building a Better New York,27300
ConocoPhillips Company,27200
AFL-CIO,27200
Walden for Congress Inc.,27100
"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",27100
America's Navy,27000
DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee.,26800
Paid for by Dave Jones for Attorney General 2018,26700
No on 112,26700
Right Rising Media LLC,26600
the Voter Participation Center,26500
"the Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",26500
World Animal Protection,26500
Seniors Speak Out,26500
GOP Gifts,26500
"Marsy’s Law for Wisconsin, LLC",26400
Gina Ortiz Jones for Congress,26400
Kongregate,26300
Jason Crow for Congress,26300
Alan Wilson for Attorney General,26300
UltimateStraw,26200
The Commonwealth Foundation,26200
Gavin Newsom for Governor,26200
Cramer for Senate,26100
Wyden for Senate.,26000
Main Street Investors Coalition,26000
World Food Program USA,25900
Business Roundtable,25900
Tom Steyer,25800
Service Employees International Union-United Healthcare Workers West (SEIU-UHW),25800
PrintedKicks,25600
Kathy Manning for Congress,25600
"Kansans for Kobach, Bob Dool, Treasurer.",25600
Save the Children US,25500
PAID FOR BY TEMPLETON FOR GOVERNOR,25500
American Bridge 21st Century Foundation,25500
Greg Steube Congressional Committee,25400
Shatterproof,25300
Coalition of Minnesota Businesses,25300
Brian Watson for Colorado Treasurer,25300
Better Medicare Alliance,25200
"Conservative Leadership Alliance, Inc.",25000
Bird + Stone ,25000
Rx Abuse Leadership Initiative,24900
The Markey Committee,24800
"Justice San Diego supporting Genévieve Jones-Wright for District Attorney 2018, sponsored by Alliance San Diego Mobilization Fund. Committee major funding from: Quinn Delaney",24800
Green For All,24700
"Yoder for Congress, Inc.",24600
The Committee to Elect Suraj Patel,24600
Seth Moulton for Congress,24600
SEIU on behalf of Dream Defenders,24600
Immigrant Voters Win PAC,24500
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,24400
Conservative Tribune,24400
Mercy Corps,24300
Matt Haggman for Congress,24300
Association for Accessible Medicines,24300
"Adam Putnam, Republican, for Governor",24300
Stand Up America,24100
Martin Heinrich for Senate,24100
Paramount Network,24000
Jason Lewis for Congress Inc.,24000
VICELAND,23900
Casey Cagle for Governor,23900
"No on Prop 10 – A Flawed Initiative That Will Make The Housing Crisis Worse, a coalition of housing advocates, renters, large and small businesses, taxpayer groups, and veterans. ID# 1406422",23800
Janet Garrett for Congress,23800
New Jersey Education Association. ,23600
"Kay Ivey for Governor, Inc.",23600
"DCCC, 430 S. Capitol Street, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee.",23500
"SMP, www.SenateMajority.com, and not authorized by any candidate or candidate’s committee.",23300
National Wildlife Federation Action Fund,23300
"Clear the Air Coalition: Working to ensure a diverse range of voices is heard and important questions are answered before critical decisions are made about San Diego’s climate future. Our coalition includes business, environmental, civic and taxpayer leaders, and Sempra Services.",23200
The Leadership Conference on Civil and Human Rights ,23100
FreedomWorks,23000
45Committee,23000
"Beachside Media, Inc.",22900
California 2020,22800
Catalyst Oklahoma,22700
with regulated funds by Healthy and Productive Michigan,22600
Center for Western Priorities,22500
Andy Barr for Congress,22500
The Nib,22400
"Paid for by Educators Supporting Tony Thurmond For Superintendent Of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations.   Committee major funding from California Teachers Association, California Federation of Teachers, and SEIU California State Council.   Not authorized by a candidate or a committee controlled by a candidate.",22400
LCV Victory Fund & Independence USA PAC. Not authorized by any candidate or candidate's committee.,22300
Kevin Meyer for Lt. Governor,22300
Illinois Working Together,22300
Scott Taylor for US Congress,22200
SEIU on behalf of iAmerica Action,22200
Anera,22200
the National Women's Law Center,22100
"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",22100
Pete King for Congress.,22100
"the office of Wayne Willams, Colorado Secretary of State",22000
Change California Now,22000
The Office of the Indiana Attorney General,21900
Nick Josefowitz for Supervisor 2018,21900
Josh Gottheimer for Congress,21800
Florida Republican Senatorial Campaign Committee,21700
CLUB FOR GROWTH ACTION IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING. PAID FOR BY CLUB FOR GROWTH ACTION. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE. CLUBFORGROWTHACTION.ORG,21700
the National Wildlife Federation,21600
"Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.",21600
"Marsy's Law for Idaho, L.L.C",21400
The Southern Environmental Law Center ,21300
Oklahomans for Constitutional Integrity,21300
"SOUTH DAKOTANS AGAINST HIGHER TAXES 320 E. CAPITOL AVENUE, PIERRE, SD 57501",21200
Protect AR Families,21200
No Cuts to Care,21200
Indiana Secretary of State,21200
Eric Eliason for Congress,21200
Adam Schiff for Congress,21200
the Committee to Elect Ayanna Pressley,21100
"Yes on 8 - Californians for Kidney Dialysis Patient Protection, Sponsored by Service Employees International Union – United Healthcare Workers West. Committee major funding from Service Employees International Union – United Healthcare Workers West. California State Council of Service Employees",21100
Matt Rosendale for Montana,21100
Charlie Kirk,21100
THE ANGUS KING FOR U.S. SENATE CAMPAIGN,21000
State Employees Association of North Carolina,21000
Donna Shalala for Congress,21000
Unified Seattle,20900
"Goods Unite Us, Inc.",20900
Brian Fitzpatrick for Congress,20900
Better Colorado Now IEC. Not paid for or authorized by any candidate or candidate committee,20900
the Foundation for Independent Voter Education,20800
The Auto Alliance,20700
Ohio Education Association,20600
Kialo,20600
Kaine for Virginia,20600
American Lung Association,20600
The League of Wisconsin Municipalities,20500
National Association of Manufacturers,20500
"DCCC, not authorized by any candidate or candidate's committee",20500
official funds authorized by the House of Representatives,20400
Floridians for a Fair Democracy,20400
Stivers for Congress,20300
"RASHIDA TLAIB FOR CONGRESS  |  P.O. BOX 32777, DETROIT, MI 48232",20300
"Integrity NJ, PO Box 34, Manalapan, NJ 07726 Not authorized by any candidate or candidate’s committee.",20300
Ann Kirkpatrick for Congress,20300
Pharmaceutical Care Management Association,20100
A Stronger Wisconsin,20100
"Yes on 793, Inc.",19900
POET.,19900
Geoff Duncan for Georgia,19900
Johnson For Governor,19800
French Hill for Arkansas,19800
Dinesh D'Souza,19800
DIANE FOR COLORADO CD3,19800
Fair Courts Now,19700
"GOAL SD: San Diegans for the River Park, School Funding, Soccer, and a Tax-Free Stadium",19600
Elise for Congress,19600
"Carolina Leadership Coalition, Inc. Not Authorized by Any Candidate.",19600
Friends of Dick Durbin,19500
Defend Oregon,19500
Southern Environmental Law Center,19400
Senate Majority Fund,19400
"Friends of Ron DeSantis, 1 Independent Drive, #1300, Jacksonville FL 32202.",19400
DEROSE FOR CLERK,19400
Common Defense / Beyond the Choir Action Fund and not authorized by any candidate or candidate's committee.,19400
Coalition for Future Mobility,19400
Paid for by Americans for Prosperity,19300
Job Creators Network,19300
David Shafer For Georgia,19300
Concerned Veterans for America,19300
Carper for Senate,19300
the EnergySure Coalition,19100
Patriotic Drop Shop,19100
Jeff Bleich for Lieutenant Governor 2018,19100
Garcia for Governor. Authorized by Garcia for Governor.,19100
Pennsylvania Leadership Committee. Connected Organization: American Leadership Committee,18900
Delgado for Congress,18800
Committee to Elect Rob Davidson,18800
John Rose for Tennessee,18700
Best Friends Animal Society,18700
Angie Craig for Congress,18700
350 ,18700
Smart Customer,18600
NYS Senate Republican Campaign Committee,18600
Keep Farming in Oceanside,18600
DoSomething,18600
Calm Effect,18600
Healthy Nevada PAC,18500
Duty and Country. Not authorized by any candidate or candidate’s committee.,18500
"VALOR - Veterans Alliance of Orange County Issues Committee, Yes on Measure B, sponsored by Heritage Fields El Toro, LLC. Committee major funding from Heritage Fields El Toro, LLC",18400
News For America,18400
Independent Women's Voice,18400
Health Care Voters of Nevada,18400
Giffords PAC.,18400
the Democratic Party of Georgia. Approved by Stacey Abrams for Governor.,18300
"Stand for Alaska Vote No on 1, 200 West 34th Avenue, PMB 1219, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick and Sarah Lefebvre, co-chairs, approved this message. Top contributors are Teck Alaska, Anchorage, Alaska, ConocoPhillips Alaska, Anchorage, Alaska, and Kinross Fort Knox, Fairbanks, Alaska",18300
National Wildlife Federation,18300
"MONTANANS AGAINST TAX HIKES – NO ON I-185 CHARLES DENOWH, TREASURER P.O. BOX 4932, HELENA, MT 59604",18300
Dr. Kim Schrier for Congress,18300
Charter Public Schools PAC,18300
"the White Coat Waste Project, Inc",18200
Paul Moya For Congress,18200
"Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ",18200
