,95777
"HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",1719
Alliance for Justice Action Campaign,1707
Keep and Bear,1698
Cynthia for New York.,1670
Sierra Club,1661
End Citizens United,1654
Heidi for North Dakota,1613
ConocoPhillips Company,1600
the Connecticut Business & Industry Association,1557
EMILY's List,1528
Zephyr for NY,1498
One Nation,1492
Patriotic Drop Shop,1487
Americans For Prosperity,1480
Askov Finlayson,1469
Proud Right Winger,1468
Adam Schiff for Congress,1453
Amnesty International USA,1450
Reform California,1443
Rosen for Nevada,1441
Patriot Depot,1439
America First Policies,1431
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",1430
the National Partnership for Women & Families,1392
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,1374
NRSC,1364
"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",1355
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,1342
Tina Smith for Minnesota,1335
OZY Media,1333
Issue One Action,1310
Rustic Edge Marketing,1282
Alliance for a Better Minnesota,1275
Energy Citizens,1268
"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidates campaign committee.",1231
Lisa Brown for Congress,1222
Abdul El-Sayed for Michigan,1210
the Make Healthcare Affordable Coalition,1206
James Thompson for Kansas,1204
International Rescue Committee,1199
Pol. Ad Texans for Greg Abbott,1185
NRDC,1179
Bill Nelson for U.S. Senate,1164
the DSCC,1155
JB for Governor,1143
"MO Research, Inc.",1131
NextGen Climate Action Committee; not authorized by any candidate or candidate's committee.,1116
League of Conservation Voters,1097
Penzeys,1095
Brill For Congress,1095
Friends of Gina Raimondo.,1087
Support The 2nd Amendment,1085
Jeff Merkley for Oregon,1084
"Reform Austin, Inc. ",1079
Human Rights Campaign,1078
Working Families Party,1077
Politicon,1069
Restoration PAC,1063
Giving Brush LLC,1056
JVMI,1050
"FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",1050
"Planned Parenthood of Advocates of Michigan | PO Box 15041, Lansing, MI 48901",1043
Blue Wave Voters,1038
Home Energy Guide,1029
Human Rights Watch,1025
The Years Project Action Fund,1024
Senate Leadership Fund,1014
Matt Brown for Governor,1013
Americans for Prosperity,1013
"AEF Media, LLC",1012
Shareblue Media,990
"Friends of Nate Loewentheil, Guy Tawney, Treasurer.",969
Distractify,968
Lebowski Lovers,963
No AZ Energy Tax,956
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,950
Yes! To Affordable Groceries ,947
Environmental Voter Project,947
No Kid Hungry,931
March for Our Lives Action Fund,931
Cathy for Congress,930
NYS Laborers' LECET,920
New York State SRCC,918
Animal Matters,917
the Coalition to Defeat Question 3,911
"Florida Grown, P.C.",908
USA for UNHCR,907
Giffords PAC.,899
Defenders of Wildlife,885
NARAL Pro-Choice Massachusetts and the National Institute for Reproductive Health Action Fund,874
Americans for Affordable Birth Control,870
Patriot Powered Products and Publications,866
IVN News,866
Andrew Cuomo for Governor,847
Donnelly for Indiana,839
"4Ocean, LLC",839
The Nature Conservancy,838
Immigrant Voters Win PAC,837
Consumer Energy Alliance,834
March of Dimes,832
Fight for $15,832
Gillibrand for Senate,830
the NRCC and not authorized by any candidate or candidate’s committee.,829
the National Institute for Reproductive Health,828
DIANE FOR COLORADO CD3,827
PragerU ,824
Klean Kanteen,815
Advance California,808
"Mainers for Homecare; 565 Congress Street, Suite 200; Portland, ME 04101",807
Discover Charter Schools,806
Turning Point USA,802
Demand Justice,800
Comedy Central,800
McCaskill for Missouri,798
NRDC Action Fund,795
Finance Watch Dogs,794
Up for Growth Action,792
AFSCME Nevada,792
Conservative Tribune,791
Pfizer,787
National Solar Rebate,786
"Access Reproductive Care-Southeast, Inc.",780
"ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.",765
NRA,754
Coloradans for Fairness,753
We Are The Mighty,749
" FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",748
Friends of Chris Murphy,745
ProgressNow Colorado,739
Circa,738
Andy Kim for Congress,725
CANVAS Unplugged - An Art Gallery of Today's Stories,719
Boredom Therapy LLC,718
Mikie Sherrill for Congress,716
The Nib,713
Alliance Defending Freedom,713
Sand Cloud,710
"Andrew Gillum, Democrat, for Governor",708
National Rural Electric Association,704
National Education Association,701
Save the Children Action Network ,694
Civiqs,693
the Alliance for Michigan Power,692
"Tony for Wisconsin. Connie Hutchison, Treasurer.",687
"Citizens for Rauner, Inc.",684
"Tim Bjorkman for South Dakota, Dr. Tom Ortman, Treas.",683
Kevin McCarthy for Congress,676
Young America's Foundation,675
Shout Your Abortion,674
WeThePeopleHolsters ,671
MJ for Texas,671
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",661
Ben & Jerry's,655
and authorized by Janet Mills for Governor.,652
Washington Education Association Political Action Committee,649
Voto Latino,649
American Action Network.,648
Leadership MKE. Not authorized by any candidate or candidate’s agent or committee.,646
"Color of Change PAC, colorofchangepac.org, not authorized by any candidate or candidate’s committee. ",646
Baria for Mississippi,643
Aspire Gear,641
Gina Ortiz Jones for Congress,638
THE ANGUS KING FOR U.S. SENATE CAMPAIGN,637
Texans for Natural Gas,628
the National Education Association,626
Cort Vanostran for Congress,624
"the Keith Ellison for Attorney General committee, PO Box 80824, Minneapolis, MN 55408",622
Lupe Valdez for Governor,622
All-Options,620
Defend Arizona. ,619
Ranker,614
"The Independent Republicans of Wyoming, a registered 501(c)(4). The Independent Republicans of Wyoming is not affiliated with any political campaign and this website was not authorized by any candidate or candidate's committee.",613
Illinois State Treasurer's Office,609
FRIENDS OF RENEE HOAGENSON,608
Mallory Hagan for Congress,607
Human Coalition,606
People for Sharon,600
Unite America Inc.,595
Dr. Raul Ruiz for Congress Committee,593
NYS SRCC,588
The Maura Healey Committee,587
Buffy Wicks for Assembly 2018. FPPC #1396734,585
Harder for Congress,584
Everytown for Gun Safety Support Fund,584
Welcome.us,577
Yes for Affordable Housing,571
Joe Kennedy for Congress.,570
Lauren Underwood for Congress,568
Friends of Bernie Sanders,558
Portside,556
Military History Working Group at the Hoover Institution,554
Mercy For Animals,554
I Love My Freedom,549
Oxfam America,544
Amendment 2 is For Everybody,543
Alexandria Ocasio-Cortez 2018,541
Real Justice PAC and not authorized by any candidate or candidate's committee.,537
Dahlkemper for Jeffco,537
Brent Yonts Campaign,537
Granite State Progress Education Fund,536
Daily Wire,534
OuterGoods LLC,531
Heifer International,531
Chris Pappas for Congress,531
Tom Wolf for Governor,530
New York State Laborers' Union,530
Maloney for New York,530
Our Schools Now,522
WhyHunger,521
Unite Colorado Election Fund,520
John Upchurch for Congress,520
New York State Senate Republican Campaign Committee,519
New American Media Group LLC,519
Progress Florida Education Institute,516
When We All Vote,514
National Domestic Workers Alliance,514
Florida Republican Senatorial Campaign Committee,513
The Arc,512
Kaniela Ing for Congress,512
Rick Green for Congress,509
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",507
The Years Project,503
Michigan Families for Economic Prosperity,499
Judicial Watch,497
Friends of Dana Balter,495
the Committee to Elect Ayanna Pressley,493
Save the Redwoods League,492
The Oklahoma Call for Reproductive Justice,489
SoCal Daily Media,488
"Friends of Al Redmer, Jr., Robert Liberto, CPA, Treasurer.",486
Roskam for Congress Committee,485
Harley Rouda for Congress,484
"David Trone For Congress, Inc. ",484
The American Tort Reform Association,483
New Mexico Oil & Gas Association,479
Josh Gottheimer for Congress,479
American Gas Association,478
"the White Coat Waste Project, Inc",475
Texas Public Policy Foundation ,467
Matt Rinaldi Campaign,467
O’Connor for Congress,464
Cordray/Sutton Committee,464
"Dr. Jeff Colyer for Governor, Howard Wizig, Treasurer",463
Eric Eliason for Congress,462
People for Farnsworth,461
World Wildlife Fund,460
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",460
Newsom for California Governor 2018,456
Catholic Relief Services,455
Security Finance Initiative,454
Chad Benson,451
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,449
Water Lifestyle Co.,448
SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.   ,448
The Wilderness Society,447
"Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach",447
"Zen Brands International, LLC",446
John Wolfe for U.S. Senate,446
Tim Walz for Governor,444
Maple Heights African American Gazette,444
Bill Schuette for Governor,444
The Democratic Coalition,439
Stabenow for U.S. Senate,435
"Kurt for Wisconsin, Christine Kober, Treasurer",434
CALinnovates,433
Online Carry Course,430
DoSomething,430
Good Media Group,429
The Epoch Times,428
Paid for by Americans for Prosperity,428
HPAE - Health Professionals & Allied Employees,422
DCCC. Not authorized by any candidate or candidate’s committee.,418
Priorities USA Action and Senate Majority PAC. Not authorized by any candidate or candidate's committee.,415
Mike Levin for Congress,415
"Beachside Media, Inc.",415
State Run Films,414
BILL NELSON FOR U.S. SENATE,414
Donald Trump Collectables,413
Dean Phillips for Congress,413
Be a Hero PAC,413
Martin Heinrich for Senate,411
UsAgainstAlzheimer's,410
Heller for Senate,408
UltimateStraw,406
Gayle McLaughlin for Lt. Governor FPPC#1396385,406
House of Patriots,405
Elect Kathy Hoffman for Superintendent,403
Tax March,402
Mary Barzee Flores for Congress,402
Voters in Charge,401
Consumer Alert Services,401
Friends of Lucy McBath,399
Jonathan Lewis for Congress 2018,398
the Office of Congresswoman Julia Brownley,397
Nine Line Apparel,396
The Mackinac Center for Public Policy,390
Great America PAC,390
Diversity Incorporated,390
Good Jobs Nation,385
LGBTQ Victory Fund ,377
Kate Brown Committee,376
Bottlepops USA,376
Military Officers Association of America (MOAA),374
Consumer Action for a Strong Economy,374
Ken Harbaugh for Congress,372
мои личные средства в рекламу моей компании,371
Anti-Defamation League,370
ReThink Energy New Jersey ,369
The Atlas Society,368
Tactical Pro Supply,368
OpsLens. ,368
Bird + Stone ,368
Mike Braun for Indiana,367
Friends of Mark Pinsley,366
Ducey for Governor ,364
Alliance for Climate Education,363
The Brookings Institution,361
Energy Nation,359
"John Kingston for Senate, Inc.",358
Federation of American Hospitals,358
National Park Foundation,357
Modern Medicaid Alliance,355
Citizens for Tobacco Rights,355
Ned for CT. Richard Smith Treasurer. Approved by Ned Lamont.,354
Greg Steube Congressional Committee,354
Your Trump Shop,353
Dr. Jim Maxwell for Congress,352
Equality Texas.,351
the Leadership Conference on Civil and Human Rights ,349
the Konni Burton Campaign,349
Voters Decide,349
"Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105",349
SoCal Health Care Coalition,348
Hayes For Maine,348
Doug Chin for Hawai‘i.,348
Trenton Don’t Touch My Insurance,347
Maine Conservation Voters,346
Shireen for Congress,345
Capital Research Center,345
Kulkarni for Congress,343
Congressman Mark Walker,342
Healthy Living Initiative ,341
"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",340
Florida Politics.,339
End Animal Cruelty Club,337
Bob Casey for Senate,337
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,336
McMaster for Governor,335
Moms Clean Air Force,332
FRIENDS OF GENTNER DRUMMOND 2018,332
"Educators Supporting Tony Thurmond For Superintendent Of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations. Committee major funding from California Teachers Association, California Federation of Teachers, and California Faculty Association. Not authorized by a candidate or a committee controlled by a candidate.",332
Angie Craig for Congress,332
AFSCME Council 28 (WFSE),330
Paid for by Ellen Lee Zhou for Mayor 2018 FPPC #1400965,328
Nelson for Texas,327
Job Creators Network,327
"by GroundUp. Not authorized by any campaign, committee, or PAC.",325
Eastern State Penitentiary,324
Committee to Elect Rob Davidson,324
American Civil Liberties Union,324
One Nation Design,323
Matt Haggman for Congress,323
Hoover Institution,322
OK Health Action,321
Green For All,321
"ASMDSS, Inc",320
the Foundation for Constitutional Government,319
Silicon Valley Community Foundation,314
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,314
The Democratic Party of New Mexico. Not Authorized By Any Candidate or Candidate's Committee,312
Southern Environmental Law Center,312
Randy Bryce for Congress,311
Reaching the Summit: Coloradans for Mike Johnston,309
Dodson for Senate – Wyoming First,309
"Zya, Inc. ",307
the Environmental Working Group,305
the Public Sector Union Alliance,303
the Bump Committee,303
Lesley for CU Regent,302
Friends of Jan Schneider,302
Kanew For Congress,301
"Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ",301
"Students, Parents and Teachers Supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice. Committee major funding by EdVoice. Not authorized by a candidate or a committee controlled by a candidate.",300
People for Alex Ramel,300
Committee to Elect Dan Forest,300
"American Federation of State, County and Municipal Employees",300
Center for Biological Diversity,299
Pennsylvania Leadership Committee. Connected Organization: American Leadership Committee,298
WOMEN VOTE!,296
Amy McGrath for Congress,293
Color Of Change,292
Spectrum News,291
the Democratic Governors Association.,290
and Authorized by Gary Jones for Governor 2018,290
Fair Courts Now,290
Whitehouse for Senate,289
The Senator Brian Zehnder Campaign,289
"Mark for Comptroller | J. Kenneth Nowell, Treasurer | Authorized by Mark Greenberg",289
Nick Josefowitz for Supervisor 2018,288
Patagonia ,287
Clean Energy for a Healthy Arizona,287
Chrissy Houlahan for Congress,286
UnitedHealthcare,285
Webinar Technologies,284
Mi Familia Vota Education Fund,284
Hawthorne Gardening Co. ,283
Main Street Investors Coalition,282
Ted Cruz for Senate,280
TRAVIS ALLEN FOR GOVERNOR 2018,280
Priorities USA Action. 202-904-0620. Not authorized by any candidate or candidate’s committee.,280
Humane Society International,280
Flanders for U.S. Senate,280
Elissa Slotkin for Congress,280
Larry Sharpe for Governor,277
the American Cancer Society Cancer Action Network.,276
NRATV,276
Clearing out the Clutter.  The views expressed are those of the author only.,276
Truthout,275
Friends of Glenn Thompson,275
Our Colorado Values Independent Expenditure Committee; Ashley Stevens registered agent. Not authorized by any candidate.,274
The Committee to Elect Suraj Patel,273
"Committee to Elect Allan Kittleman; Bradley Myers, Treasurer",272
Free Press Action Fund,270
Progressive Turnout Project,269
National Partnership for Women & Families,269
Johnson For Governor,269
Home Professionals,269
Ro for Congress,268
National Committee to Preserve Social Security & Medicare,268
Environmental Defense Action Fund,267
"ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER",266
"National Shooting Sports Foundation, Inc.",266
the League of Women Voters,265
"OAF Nation, Inc",265
Greater Half,265
DuPage Libertarians,265
Future in America,264
Walden for Congress Inc.,263
Dettelbach for Ohio,263
Colorado Values Project,262
Fire Ted Cruz PAC,261
Collier for Lt. Governor ,261
American Beverage Association,261
Senate Majority Fund IEC,260
"Philip Levine, Democrat, for Governor",260
Senate Majority Fund,259
"Sky Took, LLC",258
"Friends of Shelaswau Crier, 187 High St. NE, Salem OR 97301",258
official funds authorized by the House of Representatives.,257
Washington Independents Political Action Committee,257
The Committee to Elect John MacDonald,256
Mike Johnston for Governor,256
Jason Rittereiser for Congress,256
Dr. Kim Schrier for Congress,256
Chris Wilhelm for County Council,256
VICELAND,255
Stitt for Governor 2018,255
SMP. Not authorized by any candidate or candidate's committee.,255
"Justice Democrats, not authorized by any candidate or candidate's committee.",254
Grow Louisiana Coalition,254
Friends of John Delaney,254
The Explore Offshore Coalition,253
Pete King for Congress.,252
Live Nation Concerts,252
Kanew for Congress,252
Jackson for Congress,252
The Committee to Elect Alessandra Biaggi,251
LCV Victory Fund & Independence USA PAC. Not authorized by any candidate or candidate's committee.,251
Sandy Hook Promise,250
Sarasota Citizen Martin Hyde,249
"Citizens Empowered for Justin Chappell, Ben Spangenberg, Treasurer",249
Appalachian Mountain Club,249
"Anna V. Eskamani, Democrat, for Florida House 47",249
The Peoples Climate Movement,248
SFT2 Tactical Supply,248
Cory Booker for Senate ,248
Anera,248
the Friends of Jess King,247
the Democratic Governors Association,247
Business Forward,247
National Audubon Society,245
McKissick for NC Senate,245
Carbonated TV,245
Kristen Carlson for Congress,244
Colorado Organization for Latina Opportunity and Reproductive Rights,244
Al Lawson For Congress ,244
The Fighting Forces,243
The Cicilline Committee,243
SEIU on behalf of iAmerica Action,243
New Mexico Democrats for Democracy,243
LCV Victory Fund,242
Dayton Daily News,242
The Committee to Elect Hageman for Governor ,241
SupChina,241
Food & Water Watch,240
the Minnesota Hospital Association,239
Zeldin for Congress,239
David Richardson for Congress,239
"A Minnesota for All of US, P.O. Box 7042, St. Paul MN 55107 and not prepared on behalf of or in consultation with any candidate",239
Smart Customer,238
"Mike Rothman for Minnesota. P.O. Box 4215, St. Paul, MN 55101",238
The Rutherford Institute,237
"Stand for Children, Inc.",237
Gavin Newsom for Governor,237
Indivisible Action FL,236
Americans for Prosperity Foundation,236
"mitú, Inc.",235
NumbersUSA,235
DC Statesman,235
"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",233
Republicans for the Rule of Law,233
Huru International,233
California Teachers Association,232
Bloomberg Philanthropies,232
Committee to Elect Soraya Diase Coffelt Governor,231
Wyden for Senate.,230
No on Proposition 8: Stop the Dangerous Dialysis Proposition,230
Kevin de León for U.S. Senate,230
NYS Senate Republican Campaign Committee,229
Jewish Leadership Conference,228
Gretchen Whitmer for Governor,228
Andrew Yang,228
"Yes On 793, Inc. 4 NE 10th St #434 OKC, OK 73104 (405)510-7946",227
"ThoughtFull Enterprises, Inc.",227
THE REPUBLICAN PARTY OF KENTUCKY. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE. 502.875.5130,227
Responsible Leadership NM,227
Wendy Rogers for Congress,226
THE MIKE BOST FOR CONGRESS COMMITTEE,226
Barbara Lee for Congress,226
the Committee to Elect Dan Koh,224
"Miami Freedom Park Political Committee, Inc., 2600 South Douglas Road, Suite #900, Coral Gables, Florida 33134.",224
CINDY HYDE-SMITH FOR US SENATE ,224
Townhall Media ,222
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,222
Indivisible Project,222
Indivisible Project and not authorized by any candidate or candidate's committee.,220
Build CT,220
SEIU,219
Delgado for Congress,218
Brindisi for Congress,218
Association for Accessible Medicines,218
"Viviana Janer, Democrat, for Osceola County Commission, Dist. 2",217
The Office of Mayor Ted Wheeler ,217
Susie Lee for Congress,217
Oklahomans for Mick Cornett 2018,217
"Justice San Diego supporting Genévieve Jones-Wright for District Attorney 2018, sponsored by Alliance San Diego Mobilization Fund. Committee major funding from: Quinn Delaney",217
"the Maine Republican Party, 9 Higgins Street, Augusta, Maine. Not paid for or authorized by any candidate.",216
SameSide,216
Parks Project,216
John Carter for Congress,216
"Jamie Ballinger for Senate, LaKenya Middlebrook, Treasurer",216
Abortion On Our Own Terms,216
"Sean Shaw, Democrat, for Attorney General",215
Priorities USA Action. Not paid for or authorized by any candidate.,215
The Committee for Allan Fung,213
"Jeff Brandes, Republican, for State Senate",213
#VoteTogether | A project of Civic Nation,213
Stand With Parkland,212
"Laura Kelly for Kansas, David Toland, Treasurer",212
Center for American Progress,212
the ASPCA,211
Knute for Governor.,211
Kaump for Wisconsin,210
Hillsdale College,210
The Poor People's Campaign: A National Call for Moral Revival,209
Save the Children US,209
Jennifer Pawlik for AZ House. Authorized by Jennifer Pawlik.,209
Rock The Vote,208
Plan International USA,208
Kemp for Governor,208
Faso for Congress,207
Defending Democracy Together,207
Dean Obeidallah,207
"The Teachers For Kennedy Independent Expenditure Committee, Ashley Stevens Registered Agent. Not Authorized By Any Candidate.",206
"Paid for by Educators Supporting Tony Thurmond For Superintendent Of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations.   Committee major funding from California Teachers Association, California Federation of Teachers, and SEIU California State Council.   Not authorized by a candidate or a committee controlled by a candidate.",206
Joe Messerli,206
The Committee To Elect Dawn Barlow For Congress,205
Steve Weichert for AZ Senate. Authorized by Steve Weichert. ,205
Pechefsky for Congress,205
Elect Aaron Lieberman,205
DrugJustice,205
Colin Allred for Congress,205
The Leadership Conference Education Fund,204
Savage for Mayor Campaign,204
Elizabeth Pannill Fletcher for Congress,204
Hashimi for Us Committee,203
Alyse for Alaska,203
"David Smith, Republican, for State Representative",202
"Bill Lee for Tennessee, Inc. - Fred Decosimo, Treasurer",202
The Office of Congressman Donald Norcross,201
The Leadership Conference on Civil and Human Rights ,201
Paid for by Oregon Forests Forever,201
Jackson for US Senate,201
Brady PAC,201
christopher cooper,200
Organizing for Action,200
Housley for Senate Committee,200
"Paid for by Mantovani for STL, Tim Fogerty, Treasurer",199
LifeDaily,199
Cold Dead hands of America,199
Tim Ryan for Congress,198
Healthy Nevada PAC,198
Adam Schiff for Congress ,198
Kerri Evelyn Harris for Delaware,197
"Goods Unite Us, Inc.",197
Floridians for a Fair Shake,197
Build With Strength,197
The Record,196
HarrisForAZ. Authorized by Valerie Harris,196
Greg for Montana.,196
Knock The Vote,195
For Our Future Action Fund,195
Andrew Janz for Congress,195
Marsha for Senate,194
Friends of Dan Kildee,194
"Fitzgerald for Congress, Inc.",194
"Denise Grimsley, Republican, for Commissioner of Agriculture and Consumer Services.",194
Serve America Movement,193
James for NY,193
Garnet Lewis for State Senate,193
Casten for Congress,193
"Matt Caldwell, Republican, for Commissioner of Agriculture",192
"Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",192
Celebrity Voice Changer,192
"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.",191
Wicker for Senate,191
Union Patriots,191
NRSC and not authorized by any candidate or candidate’s committee,191
Friends of Dorothy Brown,191
AARP ,191
"the Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",190
"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",190
Pat Collins Candidate,190
Giffords.,190
Mercy Corps,189
Making Every Vote Count,189
Local Majority,189
Let Africa Live,189
Fred Akshar For Our Future,189
"No on Prop 5, Sponsored by Educators, Public Safety, Health Care and Local Government Organizations. Committee major funding from SEIU California State Council, California Teachers Association, and American Federation of State, County and Municipal Employees.",188
Democratic Association of Secretaries of State ,188
Christopher Hale for Tennessee,188
Scamazon,187
Liftable Engagement Services,187
"DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.",187
"American Federation of State, County & Municipal Employees",187
2atees1,187
Randy Boyd for Governor,186
Michigan Leadership Committee. Not authorized by any candidate.,186
MAST FOR CONGRESS,186
Friends of Ben McAdams,186
The Charlotte Bergmann For US Congress Campaign,185
No Labels. Not Authorized by Any Candidate or Candidate Committee.,185
Jacek Zurada,185
Conservation International,185
Committee to Elect Marc Snyder,185
Burns for NH,185
World Food Program USA,184
The Buckeye Institute,184
Flynn 2018,184
America's Navy,184
Shri Thanedar for Governor,183
"Committee to Elect Joe Perkins for Circuit Judge, Group 25.   ",183
"Bill Walker for Governor and Byron Mallott for Lieutenant Governor, 601 w 5th Ave, Suite 200, Anchorage AK 99501",183
Smullen for Assembly,182
Repair Our Schools Now Coalition,182
"Markley For LG, William J. Stanley Treasurer, Approved by Joe Markley",182
Jason Crow for Congress,182
Freedom for All Massachusetts,182
Dan Kohl for Congress,182
Chris4Arizona. Authorized by Christine Marsh.,182
Change to Win,182
Paid for by Friends of Ginny Ehrhart,181
Garcia for Governor. Authorized by Garcia for Governor.,181
Sister District Project,180
Fog Horn Reports,180
"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations. Committee major funding from California Teachers Association, California Federation of Teachers, and California School Employees Association. Not authorized by a candidate or a committee controlled by a candidate.",180
"North Dakotans for Citizen Voting, Gary Emineth, Chairman",179
Nevada Conservation League Political Action Committee.,179
"Cam 4 Congress, PO Box 1010 Waimanalo, HI 96795",179
Advanced Energy Economy,179
the Committee to Elect Michelle Ciccolo.,178
by Red to Blue CA.,178
The Collective PAC; not authorized by any candidate or any candidate's committee.,178
MFV,178
Karl Dean for Governor,178
Club for Growth Action,177
Brian Watson for Colorado Treasurer,177
"the Michigan Democratic State Central Committee | 606 Townsend St. Lansing, MI 48933",176
New Way California,176
David Shafer For Georgia,176
Vote The Outdoors Action Fund,175
Unite2Vote,175
Texans for Dan Patrick,175
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,175
