Yes! To Affordable Groceries ,5049903
NRDC,127527
Friends of Marty McClendon,125150
Michael Cortney,123000
We Believe We Vote,121000
Olbrechts for Judge | 26910 92nd Ave NW, Ste C5, PMB #191,  Stanwood WA, 98292,115000
Vote Michael Baumgartner,114000
Sergey Solyanik,110000
Elect Carolyn Long,108580
People for Joe Nguyen,104999
Eastside Leadership Council,100000
Washington State Health Care Authority,99000
Human Rights Campaign,97805
Committee for Liz Hallock for House of Representatives, 420 S. 72nd Ave., Box 189, Yakima, WA, 98908,93879
ADVOCATES FOR HOFFMAN,92999
Washington Education Association   ,86306
People for Paul Graves, GOP,84000
Elizabeth for MA,83234
Planned Parenthood Federation of America,80102
DoSomething,71995
Yes on 1608,70000
Committee to Elect John Hart to Whitman County District Court,66000
Elect Justin Boneau (D) P.O. Box 996 Bellingham, WA 98227,65000
Friends of Noel Frame (D),63000
Committee to elect Phillip Lemley ,62946
SOLAR ENERGY TODAY,61073
King County Elections,60000
Friends of Strom Peterson (D) PO Box 12066, Seattle, WA 98102,60000
Committee to Elect Charles Steinberg Judge, Dennis Webb, Treasurer,60000
the Trump Make America Great Again Committee,59938
Equity Forward Action,59933
Mainstream Voters of Washington, Democrat,59364
Nolan Wentz for Sheriff,57925
ExxonMobil,52902
The Wilderness Society,52821
Friends of Mario Lotmore,51998
Oceana,51147
Committee to Elect Whaley for Treasurer,51000
South King County Deserves Better,50000
End Party Politics, LLC,50000
Emily Randall for Senate | PO Box 1883 Port Orchard, WA 98366,50000
Rotary International ,49596
Patagonia ,49286
Kalispel Tribe of Indians,47143
Friends of Victor Minjares for Prosector.,45000
King County Councilmember Pete von Reichbauer,43997
PragerU ,43807
Rita for Court of Appeals,43000
Committee to Elect Kevin Schmelzlen ,42000
Earl Bowerman for Congress,41656
Beto for Texas,41007
the ASPCA,41001
Stuart Holmes for Thurston County Auditor,40989
Friends of Andrew Barkis,40000
The Committee to Elect Allen Blackmon to District Court,39000
the ACLU,37668
Re-Elect Rick Miller,36000
Committee to Elect Skyler Rude (R) PO Box 502, Walla Walla, WA 99362,36000
Trust Women,35996
Jesse Young for State House Committee,35933
Washington Forest Protection Association,35000
Committee to Elect Patrick Johnson for Judge,34981
Friends of Sylvia Hammond (D),34000
John Reeves & Save Lake Kachess, PO BOX 33, Fall City WA, 98024,32000
Friends of Victor Minjares for Prosecutor.,32000
TriMet,31990
Committee to ReElect Drew MacEwen, Republican,31978
Patty Murray for Senate,31724
PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,31554
The Committee, Elect Lee Duncan Chelan County Commissioner,31000
Fuse Washington,31000
Amber Krabach for WA,31000
a United States based client of Strategic Communications Group. ,30540
The Auto Alliance,30000
Idaho Conservation League,30000
Gillibrand for Senate,29761
The Committee to Elect JT Wilcox,28000
Spark Washington,27000
4Ocean, LLC,26016
The Committee to Elect Travis Brandt for Chelan County Superior Court Postion #2,26000
National Loan Programs,26000
Committee to Elect David Mistachkin, PO Box 2333 Aberdeen, WA 98520,26000
Joy For Washington 3110 Judson St Suite 78, Gig Harbor, WA 98335,25656
NRA,25311
Health Care for All-WA,25000
Citizens for Paul Andrews (D),25000
NRATV,23340
Friends of Jessa Lewis,23000
Sasha for State,21553
The Committee To Elect Eric Valley District Court Judge,21000
Friends of Melanie Morgan,21000
AARP Washington State,21000
Vote James Erb (Democrat), P.O. Box 1482, Bellingham, WA 98227.,20874
The Economic Opportunity Institute,20295
Friends to Elect Larry Hoff,20146
Need to Impeach,20099
Forest Fire Facts,20046
Hawthorne Gardening Co. ,20012
Nathan Deily,20000
Cindy Mitchell,20000
Pierce County Department of Communications,19988
Tree Top Inc.,19775
The Nib,19424
Rustic Edge Marketing,19272
Families of the Last Frontier,19248
National Parks Conservation Association,19117
People for Patty Murray,19000
Elect Eric Bostrom,19000
Committee to Elect Scott Schmig for Grant County Assessor,19000
Wild Olympics Campaign,18866
People for Naomi Evans PO Box 6003 Bremerton, WA 98312,18000
and Authorized by  Andrew Janz for Congress.,17612
Dorothy Gasque For Congress,17577
Concealed Online,17403
David Stanko for Sheriff,17402
Vote Atul,17000
The Fourth Corner INC,17000
People of Tacoma for Kyle Paskewitz,17000
Washington Community Action Network,16995
Tom Steyer,16921
Whatcom Family Farmers,16404
Committee to Elect Darin,16000
City of Tacoma,16000
End Citizens United,15865
Dave Brown for Columbia County Sheriff,15748
Paid for by friends of Manka (D) P.O Box 2467  Redmond WA 98052,15000
Friends of Patty Kuderer. PO Box 1545, Bellevue, WA 98009,15000
Friends of David Olson,15000
Committee to Elect Jacquelin Maycumber,15000
Beth for State,15000
There Is No Them,14977
Campaign to Elect Lori Sanders,14866
Friends of Jared Mead (Dem), PO Box 13924, Mill Creek, WA, 98082,14297
Committee to Elect Randy Hayden    P.O. Box 945 Darrington, WA 98241,14000
Robert Hagglund,13999
Re-Elect Gaylord for Prosecutor Committee (D),13966
NowThis,13754
Center for Biological Diversity,13550
Melissa for Commissioner,13000
MLK Labor,13000
Friends of David Green CPA,13000
Committee to Elect Christine Brown,12978
Committee to Elect Kennedy Prosecutor,12949
Defenders of Wildlife,12599
the WNBA,12052
UW College Republicans,12000
NO on 1631,12000
Committe to Elect Dave Simmons - Sheriff,12000
Friends of the Earth,11785
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,11570
the Committee to Elect Chelsea Baldwin,11000
Liberty Justice Center,11000
King County Republican Party,11000
Friends of Terry Harder,11000
Friends of Manka (D) P.O Box 2467  Redmond WA 98052,11000
Friends of Eric Halvorson, 119 1st Ave S Ste 320, Seattle, WA 98104,11000
Derek Smith for Judge,11000
Casey Cooper for Treasurer,11000
Alliance for Climate Education,11000
Committee to Elect Tim Cruickshank,10998
WSDOT Accountability Coalition,10992
Friends for Aaron for Lummi,10988
NRDC Action Fund,10976
T-Mobile,10924
Donald J. Trump for President, Inc.,10578
No Cuts to Care,10519
American Bail Coalition,10394
National Wildlife Federation Action Fund,10178
Joann,10111
Vote Carol Frazey,10000
MomsRising Together,10000
Jerry Cooper for County Commissioner,10000
Healthy Forests, Healthy Communities,10000
Brand New Congress,10000
Arts & Culture Coalition of Pierce County,10000
25th LD Democratic Party,10000
Seattle CityClub,9999
Americans For Prosperity,9960
Blue Wave 2018,9917
Pam for Prosecutor,9160
Mary Elkin for Vancouver City Council,9105
The Lens,9000
Keep and Bear,8970
the NRCC and not authorized by any candidate or candidate's committee.,8877
DrugJustice,8871
Everytown for Gun Safety Action Fund,8822
Leonard Christian for Assessor,8787
MJ for Texas,8530
Good Media Group,8301
International Rescue Committee,8097
Washington Alliance for Jobs and Clean Energy,8000
Keith Swank for Senate committee,8000
Central Washington Justice For Our Neighbors,8000
WashACE,7996
McLeod-Skinner for Oregon,7968
Hoover Institution,7939
Zen Brands International, LLC,7401
Job Creators Network,7382
Sierra Club,7134
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,7083
Whatcom Democrats, Phone: 360-647-7661 215 W. Holly St. Suite B-27, Bellingham WA 98225,7000
Whatcom Democrats,7000
South Kitsap School Supporters: PO Box 2081, Port Orchard, WA 98366,7000
Friends of Chris Roberts 18333 3rd Ave NE, Shoreline WA  98155,7000
Dan Harder for 43rd LD,7000
Conservation Northwest,7000
Citizens to Re-Elect Mike Steele,7000
Associated Students of Pacific Lutheran University,7000
Committee to Elect Jackie Brunson Treasurer,6978
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,6685
Save the Children Action Network ,6554
MoveOn.org Civic Action.,6092
The Hill,6085
America's Navy,6045
National Rural Electric Association,6007
Whatcom County Republican Party Whatcom County Washington,6000
The World Affairs Council of Seattle,6000
The Committee to Elect Judy Wilson,6000
Shannon for Senate (D) | 119 1st Ave S Ste 320, Seattle, WA 98104,6000
Friends of Chris Corry,6000
Elect Tanisha Harris (D),6000
Eastside Leadership Council, PO Box 425, Kirkland, WA  98083. Top five contributors: New Direction PAC, Kennedy Fund.,6000
Committee to Elect Lori Larsen,6000
Citizens to Elect Casey Salisbury Sheriff,5987
Turning Point USA,5533
End Citizens United Nonfederal,5449
Seeker,5275
CRTV,5251
Charlie Kirk,5193
Kamala Harris for Senate,5190
McCaskill for Missouri,5053
Washington Independents Political Action Committee,5000
Washington Environmental Council,5000
United Farm Workers, PO Box  62, Keene, CA, 93531,5000
The Nature Conservancy,5000
Re-Elect Linda Oosterman - 4714 Durham Street NE, Lacey WA 98503,5000
Kshama Solidarity Campaign,5000
FRIENDS OF PETER VAN NORTWICK,5000
Committee to elect Rick Felici Sheriff,5000
Committee to Elect Nancy Dailey Slotnick ,5000
Committee to Elect Bob Bugert,5000
Bruce King for PUD Commissioner,5000
Retain Judge Kahler,4998
Tygart Media,4905
Committee to Elect Brian Blake | PO Box 1541  Longview, WA 98632,4844
Media Research Center,4821
Conservative Gear,4787
FreightWaves,4775
JVMI,4632
Americans for Prosperity,4624
Daily Wire,4564
ASMDSS, Inc,4261
Bloomberg Philanthropies,4253
Voices for Affordable Health,4226
AAF Nation, LLC,4204
Environmental Defense Fund,4123
Blackburn Tennessee Victory Fund,4015
Hanks for Idaho,4011
Jeni Woock ,4000
Friends of Saturn, Box 1052, Olympia, WA 98507,4000
Friends of Jim Walsh,4000
Counted,4000
Committee to Elect Noah Harrison 210 Polk St Port Townsend WA 98368,4000
Vote James Erb (D), P.O. Box 1482, Bellingham, WA 98227.,3995
The Humane Society of the United States,3859
 LeftAction,3853
The Committee to Elect Everett Maroon ,3850
American Blackshirts Party,3733
Kenna Smoot Treasurer,3713
NRA Women,3711
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,3515
We Are The Mighty,3501
Congressional Leadership Fund,3485
Ranker,3452
TYT Network,3432
Serve America Movement,3378
I Love My Freedom,3370
Future in America,3312
Amnesty International USA,3311
NARAL Pro-Choice America,3284
Aqua Zone Scuba Diving,3246
Webinar Technologies,3235
Paid for by the Committee to Elect Rob Rembert Judge,3216
Rosen for Nevada,3192
Oregonians For Safe Gun Storage,3167
Kevin McCarthy for Congress,3166
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,3157
DCCC,3069
National Committee to Preserve Social Security & Medicare,3042
Giffords PAC.,3023
Mic,3021
Demand Justice,3019
Swing Left. Not authorized by any candidate or candidate's committee.,3014
the Public Defender Association, to increase awareness of public policy issues related to our work, and our advocacy positions on those issues.,3000
Voters Decide,3000
Pramila for Congress,3000
Porter for Congress,3000
Pauley for KPUD (NP), PO Box 1883, Silverdale, WA 98383,3000
Jenn Goulet for the 9th LD,3000
Committee To Elect Zachary Miller,3000
Committee To Elect Michael Petrish PO Box 1435 Anacortes, WA 98221,3000
350 Tacoma,3000
 Carolyn Eslick Campaign  2018    P O Box 776 Sultan, WA 98294,3000
Liberty Road,2955
Rebel Rampage,2937
Giffords,2924
Beachside Media, Inc.,2900
Pfizer,2882
Circa,2865
Must Read Alaska, with current events of interest to Alaskans,2827
Sandy Hook Promise,2810
Bird + Stone ,2774
The International Alliance of Theatrical Stage Employees,2717
Gene Strong (Ind),2688
SEIU,2645
C-SPAN,2643
UnitedHealthcare,2599
Boatner for Congress,2517
Proud Right Winger,2512
Providence St Joseph Health,2410
National Audubon Society,2409
the DSCC,2369
the Voter Participation Center,2289
Paid for by Be a Hero PAC,2248
Committee to Elect Soraya Diase Coffelt Governor,2205
EMILY's List,2182
Marsha for Senate,2174
Roy Zimmerman,2142
Crooked Media,2119
#VoteTogether,2101
SOULCRAFT ALLSTARS,2086
Goods Unite Us, Inc.,2068
the National Democratic Redistricting Committee,2030
League of Conservation Voters,2028
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,2025
the Committee to Elect Kathy Mulkerin,2000
The Young Democrats of Clark County,2000
SameSide,2000
Planned Parenthood Votes Northwest and Hawaii,2000
Patriot Style,2000
Maralyn Chase for Senate, PO Box 77267 Seattle WA . 98177,2000
League of Women Voters Seattle-King County,2000
Friends of Derek Young for Pierce County Council,2000
Devin Beach,2000
Committee to Elect Travis Brandt for Superior Court Judge,2000
Committee to Elect JT Wilcox,2000
Committee to Elect Dan Bigelow Prosecutor,2000
CLEAN AIR CLEAN ENERGY WA 4347 Roosevelt Way NE | Seattle, WA 98105 ,2000
All In For Washington,2000
Help Place a Crosswalk at 14th and Aloha,1999
Pattullo for P.C.O.,1998
Pierce County Professional Firefighters ,1997
Friends of Selma Pierce ,1996
Yale Program on Climate Change Communication,1974
CHRIS THOBABEN COMMITTEE TO ELECT FOR STATE REPRESENTATIVE,1957
Lambda Legal,1945
Friends of Bernie Sanders,1918
Dinesh D'Souza,1892
Deb Haaland for Congress.,1888
Pixley for Sheriff,1880
Friends of Sherrod Brown,1814
Human Coalition,1812
The Years Project,1804
45 Hats,1792
The Northwest Accountability Project,1790
The Christian Left,1763
the National Network of Abortion Funds,1752
State Run Films,1734
Cathy for Congress,1697
Alexandria Ocasio-Cortez 2018,1666
Utah Diné Bikéyah,1652
Joe Kennedy for Congress.,1602
Welcome.us,1575
PrintedKicks,1572
World Food Program USA,1488
Adam Schiff for Congress,1481
Doris Day Animal Foundation,1467
Consumer Alert Services,1465
the Environmental Working Group,1426
Conservation International,1425
2A4LIFE LLC,1396
Finance Watch Dogs,1379
Harley Rouda for Congress,1363
Right Call Media,1351
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,1323
Walden for Congress Inc.,1294
O’Connor for Congress,1278
Conservative Tribune,1254
the White Coat Waste Project, Inc,1248
Rock the Earth, a program of the League of Conservation Voters Education Fund,1223
Comedy Central,1191
BRITE Coalition.,1186
The Opioid Research Center,1184
Penzeys,1165
BuzzVote LLC,1157
Reform Austin, Inc. ,1148
Nelson for Texas,1147
Patriot Depot,1137
Friends of Chuck Thomsen,1131
Maloney for New York,1097
Cascadia Progressive Forum,1089
WeThePeopleHolsters ,1088
2A4LIFELLC,1088
Joe Cunningham for Congress,1063
Stand Up America,1038
Healthy Living Initiative ,1035
AGayIndependent,1027
the Elizabeth Dole Foundation,1021
Ken Meyering,1018
the Committee to Re-Elect Robbie Robertson,1000
the 25th LD Democratic Party,1000
cindy callahan carter,1000
Yes on Prop 1 sponsored by IAFF Local 4362,1000
Whatcom County Republican Party,1000
Washington Conservation Voters,1000
Vote Veneman,1000
Tom Konis,1000
The committee to elect Dixie Moore,1000
The Humane League,1000
The Committee to Re-Elect Judge Gina Tveit,1000
TZ Insurance Solutions,1000
SumOfUs,1000
Spokane Public Schools,1000
South Sound Women's Leadership PAC, PO Box 5304, Tacoma, WA 98415. No candidate authorized this ad. Top 5 Contributors: New Direction PAC, Janet Theissen, Chelsea Talbert,1000
Sister District of Puget Sound,1000
Paid for by Affiliate members of the IAFF 7th District,1000
Outdoor Alliance,1000
Northwest Indian Fisheries Commission,1000
Northwest Environmental Advocates a non-profit (501(c3)) based in Portland, OR and is wholely responsible for the content.  You can contact us at 503-295-0490 or email to info@advocates-nwea.org.,1000
Morgan for Washington,1000
Jeff Asher for Sheriff,1000
Highline Public Schools ,1000
Friends to Re-elect Shon Small for Benton County Commissioner ,1000
Friends of My-Linh (D) 11900 NE 1st Street, Suite 300 Bellevue, WA 98005,1000
Friends of Milt Tremblay,1000
Friends of Mary Kuney,1000
Friends of Judge Shelley Szambelan,1000
Friends of Eileen Quiring,1000
Friends of Dave Paul (D) PO Box 387, Oak Harbor, WA 98277,1000
Elect Jeff Foster Campaign,1000
Elect Candy Hallom for Lewis County Assessor (R),1000
David L. Friend,1000
Datagami,1000
Committee to Elect Judge Rohrer -  PO Box 1489 Forks WA 98331,1000
Committee For Travis Brandt for Chelan County Superior Court Judge #2,1000
Citizens for Peter Abbarno,1000
Citizens For Jeff Pittman,1000
Cheryl Aichele,1000
Bethel School District,1000
American Conservation Coalition,1000
350 Seattle,1000
31st Legislative District Democrats,1000
LeadJig,999
Sarah Fox for City Council,995
by the Committee to Elect James Thomas,981
Paid for by Liberty Road,980
Wind Energy Foundation,978
Ruth Peterson, Boistfort PCO,972
Treasurer Brad Cuddy,960
Restoration PAC,943
Doctors Without Borders/Médecins Sans Frontières (MSF),942
Place Matters Oregon,936
Jeff Merkley for Oregon,902
Patriotic Drop Shop,899
Plan International USA,894
Planned Parenthood Action Fund.,891
Momus LLC dba Deck of Deplorables,889
Real Justice PAC and not authorized by any candidate or candidate's committee.,869
Color of Change PAC, not authorized by any candidate or candidate’s committee. ,867
the Democratic Governors Association.,810
Steve Forbes,809
Friends of John Delaney,809
Greenpeace USA,808
Ocean Conservancy,798
Lion Technology, Inc.,794
AIPAC,794
UPROXX,773
National Education Association,768
theSkimm,756
New American Media Group LLC,742
The Western Journal,734
ConocoPhillips Company,729
Armed American Supply,729
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,724
Seniors Speak Out,721
Dean Phillips for Congress,718
Hillsdale College,716
Abortion On Our Own Terms,708
Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.,704
Ray Familathe for ILWU International President ,701
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,694
Stand (EIN: 94-3331587),656
NRSC,655
Michelle Ralston, Digital Strategist,652
Stand formerly Forest Ethics (EIN: 943331687),632
New York Working Families Party,609
Oregon AFSCME,583
Quinn Group LLC,574
Boredom Therapy LLC,573
David Richardson for Congress,571
BPC Action,568
the Democratic National Committee,565
The Democratic Coalition,560
National Partnership for Women & Families,559
Amy for the People,557
Zephyr for NY,555
Francys Johnson for Congress,555
Justice Democrats, not authorized by any candidate or candidate's committee.,546
Tax March,544
UltraViolet,543
LifeZette Inc.,543
CARE,536
Right Wing News ,529
Giffords.,514
Right Call Media LLC,510
Clarion Project,507
Energy Citizens,502
Diversity Incorporated,495
Proud American Hunter,490
Friends of Louise Valentine,484
Greater Half,482
Players Coalition,479
Heidi for North Dakota,478
Diversity Incorporated ,468
Committee to Elect Judge Watkins,463
Protect Our Winters Action Fund,456
Animal Matters,448
Nine Line Apparel,447
WhyHunger,440
Our Schools Now,440
Giving Brush LLC,436
Adam Schiff for Congress ,431
Energy Nation,418
OZY Media,412
James Thompson for Kansas,412
Abdul El-Sayed for Michigan,410
Science for Humans and Freedom Institute,402
The Dude's Designs,400
Tina Smith for Minnesota,387
ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER,379
Environmental Defense Action Fund,376
Gavin Newsom for Governor,375
Paid For By Swalwell For Congress - P.O. Box 2847 Dublin, CA 94568,373
Anera,371
Your Trump Shop,370
the Institute for New Economic Thinking,364
Tee Shirt Palace,359
Mike Kingsley for Idaho, Chip Damato - Treasurer,359
DC Statesman,354
the Collum for Idaho Campaign, Donna Pence Treasurer,344
Friends of Jeff Helfrich,342
Americans for Affordable Birth Control,342
Chrissy for Oregon,341
Lebowski Lovers,337
Sevigny for Congress,332
Committee to Elect Cory Jane English to Idaho State Senate, Karen Parke Treasurer.,332
Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.,330
FCTRY,326
World Relief,324
Airbnb,317
Little Pink House,316
AARP Oregon,316
The Climate Reality Project,306
Oxfam America,304
Carbonated TV,301
UltimateStraw,300
Antonio Sabato Jr. For Congress,298
the Foundation for Constitutional Government,297
Oil Change International,293
Care2,282
Bill O'Reilly Staff,282
Recirculating Farms Coalition,281
Kinder World,280
Unite Colorado Election Fund,275
GLAAD,270
PI Yoga Pants,268
Digital Product Showcase,268
Onviant LLC,266
Committee to Elect Richard Ojeda,265
Military Officers Association of America (MOAA),264
Winning For Women, Inc.,261
The Innocence Project,260
The Atlas Society,256
News Procession,255
Doug Chin for Hawai‘i.,255
Conservative Consulates,254
NAACP Legal Defense Fund,252
Texans for Natural Gas,250
Donald Trump Dog Poop Bags,249
Arkansans for Jobs and Justice ,247
Julio Castaneda and friends ,246
Families For Trump,246
Tousley4Idaho2018 - Jim Bennett Treasurer,242
EveryLibrary | FEIN 46-1534149,240
Oregon Executive Club ,239
Austin Petersen for US Senate,238
The Brookings Institution,235
Bredesen for Senate,235
Mallory Hagan for Congress,233
Sean Bowie for State Senate,232
Friends of Aaron Regunberg,232
The Commonwealth Fund, a nonpartisan organization,231
the National Center for Transgender Equality Action Fund,230
Chad Benson,226
Save the Children US,224
Unite America Inc.,223
Proud American Supply,223
Remezcla,216
Latah County Democrats,216
Baria for Mississippi,216
Marin Crops, LLC,215
Tony for Wisconsin. Connie Hutchison, Treasurer.,212
Philip Levine, Democrat, for Governor,212
Scamazon,211
New American Leaders,211
Deb Fischer for U.S. Senate,210
No Kid Hungry,208
Barbara Lee for Congress,207
Human Rights Watch,206
Don't Slack,206
C Johnson,206
American Bird Conservancy,206
G.I. Jobs Magazine,205
Foundation for Economic Education,202
SFT2 Tactical Supply,199
Bill Nelson for U.S. Senate,198
D.L. Free, Melbourne, FL,196
Matthew Lee,192
American Independence,192
No Labels. Not Authorized by Any Candidate or Candidate Committee.,191
The Logical Liberal,188
OAF Nation, Inc,188
Our Revolution Casper,187
Coalition for Future Mobility,185
The Meanest Woman Alive LLC,180
Change.org,179
Paid for the by the Working Families Party National IE Committee, Mike Boland Treasurer, 1 Metrotech Center North, 11th Floor, Brooklyn, New York. Not authorized by any candidate or candidate’s committee. ,176
America's Essential Hospitals,174
USA for UNHCR,172
Tim Ryan for Congress,170
Norm Novitsky,170
Mercy For Animals,169
Texas Public Policy Foundation ,166
Friends of Barry Shapiro,165
The Libertee Company,159
Ted Cruz for Senate,158
Neil Ruddy,154
Realtor.com,152
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,150
Institute for Southern Studies,149
Prophecy News Watch,148
Foundation for Individual Rights in Education,148
Reform California,147
When We All Vote,144
Shout Your Abortion,143
National Association of Manufacturers,143
Green Matters,143
Kaniela Ing for Congress,141
House of Patriots,141
Coalition of Minnesota Businesses,141
Proxy Vote,139
Sand Cloud,138
Rock Steady Ecommerce,138
Not My NRA,133
Barbara Allen for Wyoming House District 16,133
TTG, Inc,131
The Leadership Conference on Civil and Human Rights ,130
Capital & Main,130
Prompt Media,129
Independent Liberty - Justin Edwards, EIC,129
Cartwright for Congress.,127
FRIENDS OF GENTNER DRUMMOND 2018,125
Yes on 104,124
Viking Books,122
Tax Foundation,120
Reform Austin Inc.,116
Paid for by the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,116
John Paladin and Attorney Paladin, Los Angeles, California. Supporter of National Popular Vote, Every Vote Equal, End Citizens United, Move To Amend, Term Limits and The Federal Accountability Amendment.,116
Culture Shocked,116
Let Africa Live,114
John Cox for Governor 2018,114
Blue Sky Tiger Sanctuary,114
Big Think,114
Michael Podue for ILWU Vice President Mainland ,113
Anthony Bonna, Republican, for St. Lucie County Commission - District 2,113
UnidosUS,112
Kyle M. Woodman,112
Ryan A. Farber For President,110
Blair for Montgomery,109
regulated funds by Moving Michigan Forward Fund II, 106 West Allegan, Suite 200, Lansing, MI 48933. Not authorized by any candidate or candidate’s committee.,108
Captains for Clean Water,108
factboxdottv an independent news and opinion organization,107
Stacey Abrams for Governor,107
Rick Neal for Congress,107
Rebuild Maine PAC,104
Libby Fischer Hellmann,103
Clean Energy for a Healthy Arizona,103
Bob Casey for Senate,103
The National Organization for the Reform of Marijuana Laws,101
Candace Donnelly, Common Sense Civics and Citizenship,100
Organizing for Action,99
TheBlaze,97
The Record,97
Philadelphians for a Fair Future,97
the nonprofit Northwest Abortion Access Fund,96
Likewise Media,96
National Park Foundation,95
Concerned Citizen David Townsend,95
Young America's Foundation,94
Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,94
Friends of John Berrey,94
Everytown for Gun Safety Support Fund,94
Bill & Melinda Gates Foundation,94
IOOGO INC.,93
Austin for Anchorage, P.O. Box 92089, Anchorage, AK 99509,93
Sharice for Congress,92
Larry Sharpe for Governor,92
Judicial Watch,92
Friends of Andy Manar,92
Black Conservatives Of America,91
Klean Kanteen,90
Darwin List Network,89
Adrienne Bell 2018,89
NextGen Climate Action,88
American Family Voices,88
National Justice for Our Neighbors,87
мои личные средства в рекламу моей компании,86
Niles Niemuth for Congress 2018,86
Mongoose VS Alpaca, LLC,83
Noam Kugelmass,82
The Fighting Forces,81
Fight for $15,81
Askov Finlayson,80
The Committee to elect Lisa Ring,79
Elect Ed Goodwin,79
McLeod-Skinner For Oregon,77
International Association of Sheet Metal Air Rail and Transportation Workers,76
National Media Distribution Services,75
Parks Project,73
Tubb Canyon Desert Conservancy,72
Rebuilding America Now Super PAC,72
New Orleans Baptist Theological Seminary,72
Nordlund Communications ,71
American Tort Reform Association,71
Democratic Association of Secretaries of State ,70
American Public Transportation Association,69
VALOR - Veterans Alliance of Orange County Issues Committee, Yes on Measure B, sponsored by Heritage Fields El Toro, LLC. Committee major funding from Heritage Fields El Toro, LLC,68
Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,68
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,67
Elizabeth Pannill Fletcher for Congress,67
LifeDaily,66
Lark Lo,66
Kialo,66
Arthur Winter,66
Population Connection,65
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,65
