,16192690
Paid for by Friends of Josh Newman Opposed to the Recall. Committee major funding from: California Democratic Party, Californians for Better Communities, Opposing the Recall of Senator Josh Newman, sponsored by California Alliance for Jobs and the State Building & Construction Trades Council of California California Teachers Association,466870
The Wilderness Society,462279
Human Rights Campaign,439409
National Union of Healthcare Workers,413729
the American Bankers Association. Not authorized by any candidate or candidates committee.,411000
NumbersUSA,404945
California 2020,399881
Kevin McCarthy for Congress,398024
Yes on Proposition E San Francisco Kids vs. Big Tobacco, a coalition of doctors, parents, and community groups protecting youth from flavored tobacco products and addiction, sponsored by nonprofit health organizations,397947
Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.,367288
Republicans for Ted Howze,367000
Paid for by Michael L. Magasinn for Judge 2018, FPPC #1385514,362000
Friends of SDSU, Yes on Measure G, a coalition of SDSU alumni, business and community leaders. Committee major funding from Jack McGrory, Edward Brown and Frederic Luddy. ,355000
IVN News,347332
Poythress for Senate 2018,346000
DCCC,345481
Jessica Morse for Congress,336931
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,334123
PAC For A Change. Not authorized by any candidate or candidate's committee.,328000
Howard Jarvis Taxpayers Association,322000
Adam Schiff for Congress ,317000
Strengthen Our Seawall for Earthquakes and Disasters, Yes on Prop. A. FPPC ID #1402245.,315000
Marc Steinorth for Supervisor 2018,310000
Coalition To Stop The State Water Grab,296000
Peace Officers Research Association of California Issues PAC,293000
Harrington For Sheriff #1397268,291688
Abortion Care Network,290000
Friends of SDSU: a coalition of SDSU alumni, business and community leaders. Committee major funding from Jack McGrory, Edward Brown and Frederic Luddy.,287986
Rocky 101 LLC,285474
Bera for Congress. Approved by Ami Bera. ,283000
Assemblymember Brian Maienschein,280000
American Bail Coalition,276000
The Doug LaMalfa Committee,275867
Best Friends Animal Society,274492
AFSCME Local 3299,273995
Bublak for Turlock City Mayor 2018,273000
NRDC,267424
The Cruz Law Office,265972
NRDC Action Fund,257502
Coalition for Future Mobility,256846
Californians for Safe and Affordable Housing,255831
JUSTIN FAREED FOR CONGRESS - FEC# C00572560,251889
No on Prop E – Stop the Prohibition Proposition,251836
American Civil Liberties Union,251672
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,250494
and Authorized by  Andrew Janz for Congress.,250196
Susan Ellenberg for Santa Clara County Supervisor FPPC# 1394541,244000
Adam Schiff for Congress,243220
Congressman Lou Correa,241000
Change Now, and not authorized by any candidate or candidate’s committee,241000
the Physicians Committee for Responsible Medicine,239933
Build With Strength,235816
Katie Porter for Congress,235000
John Cox for Governor 2018,234095
Affordable Housing Now Yes on Props 1 & 2 Coalition,233998
Kimberlin Brown Pelzer For Congress,233000
Office of Congresswoman Norma Torres,230997
David L. Keyes, CPA, ACCA, CFE for Auditor-Controller/Treasure Tax-Collector 2018 FPPC# 1402638,230000
Ratepayer Protection Network,229562
LCV Victory Fund & Independence USA PAC. Not authorized by any candidate or candidate's committee.,229000
the WNBA,227000
Sean Flynn for Congress,225999
the California School Boards Association,223000
California Life Sciences Association,222941
Pat Harris for US Senate,221459
Re-Elect Sheriff Gore 2018,220000
Friends of Joy Silver for Senate 2018,220000
Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates. Committee major funding from Reed Hastings, Eli Broad and Michael Bloomberg. Not authorized by a candidate or a committee controlled by a candidate.,218790
Valley Solutions" Assembly member Gray's Ballot Measure Committee,215997
NARAL Pro-Choice America,215335
STOP the Utility Bailout - a coalition of homeowners' insurance companies who are committed to upholding liability laws that protect wildfire survivors, homeowners, communities and businesses and holding utilities accountable for the fires they cause.,210059
Pharmaceutical Care Management Association,210000
Association of American Railroads,208962
Environmental Defense Action Fund,208190
Patagonia ,200825
UnidosUS Action Fund,200000
Christian L. Valiente Committee To Elect For Congress,198000
Issue One Action,196000
Familias Unidas De California,195000
Major funding by ACLU and ACLU of Northern California,193000
Blue Sky Media,192000
Californians for Consumer Privacy. Committee major funding by  Alastair Mactaggart.,191000
Color of Change PAC, colorofchangepac.org, not authorized by any candidate or candidate’s committee. ,190799
Assemblywoman Catharine Baker,190000
Committee to Save Our Neighborhoods,189000
Lorie Zapf for Council 2018,182873
ExxonMobil,181053
SoCal Health Care Coalition, a Project of Sixteen Thirty Fund. Not authorized by any candidate or candidate's committee.,175000
Citizens for Cal3,174000
Buffy Wicks for Assembly 2018. FPPC #1396734,171456
SEIU on behalf of iAmerica Action,171445
Dr. Raul Ruiz for Congress Committee,170994
Sierra Club,169820
Seniors Speak Out,169762
4Ocean, LLC,169562
Webinar Technologies,165000
Tasha Boerner Horvath for Assembly 2018 #1399301,164987
For the purpose of this brochure, a “disclaimer” notice is defined as a statement placed on a public communication that identifies the person(s) who paid for the communication and, where applicable, the person(s) Sahak Nalbandyan & Solar Solutions authorized the communication.,162964
Conservative California PAC,162000
SEIU Local 2015,160380
Geneviéve Jones-Wright for District Attorney 2018 | FPPC ID No 1397543,160000
DCCC/TJ Cox for Congress,160000
Anaheim Residents for Neighborhoods and Jobs – Yes on Measures J & K. Committee major funding from Wincome USA and affiliated entities.,160000
Brandman for City Council 2018 • FPPC ID No. 1405312,159975
Real Justice PAC and not authorized by any candidate or candidate's committee.,159240
Change to Win,158997
Sacramento City Teachers Association Political Action Committee,154999
San Diego Gas and Electric,152000
Amanda Renteria for Governor,151000
The committee to elect “Alton Wright for Supervisor 2018” FPPC# 1402609 ,150996
Phillips for DA 2018,150000
Mike Gardner for Supervisor 2018,149454
Yes on Measure I and Measure J, Move Pasadena Forward, A Committee Controlled by Mayor Terry Tornek,146000
Eduardo Garcia for State Assembly 2018,146000
American Future Fund.,145996
Beto for Texas,145622
Community Water Center,144000
Kevin de León for U.S. Senate,143000
National Education Association,142882
Ro for Congress,142000
Federation of American Hospitals,139998
Elizabeth for MA,135565
Paid for by: Gray for Assembly 2018 FPPC ID# 1392612,134000
Ammar Campa-Najjar for Congress.,132098
Feinstein For Senate 2018,131688
by CHLA in partnership with the San Diego Community STVR Working Group.,130000
Independence USA. Not authorized by any candidate or candidate's committee.,129000
Paid for by Janice Rutherford for County Supervisor 2018 FPPC# 1372155,126000
Meuser for Secretary of State 2018,126000
Jason Baker for Supervisor 2018 FPPC #1392797,126000
National City Residents for Fair & Equitable Housing, No On W,125000
Everytown for Gun Safety Action Fund,123790
Pete Aguilar for Congress,122000
justCARE,120979
Mauro Archer and Associates,120000
California Moderate Voices and not authorized by any candidate or candidate’s committee,120000
John Park for City Council 2018,119000
Eric Linder for Riverside County Supervisor 2018 ID# 1394104,119000
David Penaloza for City Council 2018 FPPC ID# 1401897,116998
Vladislav Davidzon for Auditor 2018,116000
Scott Peters for Congress,115000
State Run Films,114312
Save the Redwoods League,113000
Oil Change International,111000
Senator Andy Vidak,109000
Julia Brownley for Congress,109000
Oceana,107331
the Office of Congresswoman Julia Brownley,106000
 Patients And Caregivers To Protect Dialysis Patients,105867
Live Action,104182
San Francisco League of Pissed Off Voters. ,104000
Assemblyman Tom Lackey,104000
Congressman Salud Carbajal,103996
UnidosUS,103236
Bay City Beacon,102998
US Solar Initiative,101857
The Law Office of Carolina C. Gomez,101000
Dress for City Council 2018 FPPC #1398690,101000
Speak UP,100985
Supporters of Ted Howze,100000
Dr. Richard Pan for Senate 2018 FPPC ID #1374058,100000
Need to Impeach,98407
Velasquez for Council 2018,97000
Petrie-Norris for Assembly 2018 FPPC ID #1400670,97000
Paul Gonzales for Santa Ana City Council 2018,97000
Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations. Committee major funding from: California Teachers Association, California Federation of Teachers, and SEIU California State Council. Not authorized by a candidate or a committee controlled by a candidate.,96000
Newsom for California – Governor 2018,95974
Catherine Stefani for Supervisor 2018,95000
Save San Diego Neighborhoods, Inc.,94665
Irvine Community News & Views,94000
Planned Parenthood Federation of America,93276
Jessica Ho for Supervisor 2018 FPPC ID# 1406738.,92922
Councilmember Luis Chavez District 5 ,91000
Katalina Penland for El Centro Elementary School Board,90000
Silicon Valley Community Foundation,89999
Protect Our Winters Action Fund,88999
Tubb Canyon Desert Conservancy,86378
the ACLU,86010
Paid for by Kennedy for HB City Council 2018, ID# 1403507,84000
Californians for Safe Drinking Water and a Clean and Reliable Water Supply in support of Proposition 3.,84000
Mark Millan for Town Council 2018 ID #1369853,83000
EdVoice,83000
David Schoenthal for Richmond City Council – FPPC ID #1401123,80989
March For Our Lives,80952
ChooseGod,80000
the Trump Make America Great Again Committee,79610
Swing Left. Not authorized by any candidate or candidate's committee.,79053
Politicon,78180
Pendleton For Congress,78000
Mike Simpfenderfer Cares About Us For Assembly District #58, 2018 FPPC #1404133,78000
Rise, Inc.,77000
Paid for by Jason Baker for Supervisor 2018 FPPC #1392797,76000
Eduardo Garcia for State Assembly,76000
Re-elect Virginia Vaughn for City Council 2018 FPPC 1367613,75000
Diesel Technology Forum,74992
PAC for a Change,74619
Roger Gaylord III ,74000
Denice Gary-Pandol,74000
The Santa Barbara & Ventura Colleges of Law,73985
Americans For Prosperity,73068
Jim Desmond for Supervisor 2018 (#1382609),73000
Elect Jesse Gabriel for Assembly 2018 - FPPC ID No. 1402641,72000
Bill Smethers for Nevada County Sheriff - FPPC #1398939,71000
PragerU ,70736
The Office of Congressman Alan Lowenthal,70000
Dean Johansson for Yolo County District Attorney 2018 FPPC Committee ID # 1401524,70000
Darren Suen for Mayor 2018,70000
Demand Justice,69848
the American Civil Liberties Union of Southern California,69000
Ben Cantu for Manteca Mayor 2018,69000
Trevor McNeil for District 4 Supervisor 2018,68000
Desley Brooks Campaign for City Council FPPC #1236617,68000
Committee to Re-Open Our Local Hospital; Yes on H. ,68000
Climate Hawks Vote Political Action. Not authorized by any candidate or candidate's committee.,68000
Purpose,67999
PACE is Working,67000
Alamedans in Charge – A Coalition of Rental Property Owners, Homeowners, Businesses and Tenants for Fair and Affordable Housing,67000
Tony Wu,66000
SCPFJ & Rebuild SoCal.,66000
Re-Elect Mayor Rich Tran 2018 FPPC #1400416,65000
Davis Gateway Student Housing LLC and Affiliated Entities,64000
The Climate Reality Project,63133
Tenants and Owners Development Corporation and its affiliated entity Yerba Buena Neighborhood Consortium LLC, 230 Fourth Street, San Francisco, CA 94103,63000
Andrew Grant for Congress,63000
Sungrade Solar,62913
AAF Nation, LLC,62103
Zahra for City Council 2018 • FPPC ID No. 1396977,62000
Capital & Main,62000
Community Group,61998
Color of Change PAC, not authorized by any candidate or candidate’s committee. ,61108
UNITE HERE Local 11,61000
Tom Umberg for Senate 2018, FPPC ID #1403029,61000
Pacific Grove Neighbors United,61000
Los Angeles Mayor's Office,61000
Future in America,61000
Marshall Tuck for State Superintendent 2018, FPPC# 1395234,60000
Committee to Elect Michael Wilson Indio City Council 2018,60000
Chris Blaylock,60000
California Department of Alcoholic Beverage Control,60000
National Shooting Sports Foundation,59987
The Wilderness Society Action Fund,59000
Californians for Responsible Housing,59000
Fresenius Medical Care.,57984
Comedy Central,57600
Paid for by Danielle Gibbons for Judge 2018 FPPC#1403084,57000
Cal City Safe,57000
Affordable Housing Now Yes on Props 1 & 2 coalition,56988
Concealed Online,56814
Sisters of The Valley,56000
Paid for by Sam Jammal for Congress 1001 E Chapman Ave. | Fullerton, CA 92831,56000
Committee to Elect Ali Mazarei for Assembly 2018,56000
Bernardo M Perez for Ventura County Supervisor 2018. FPPC# 1401493.,56000
Chester Jeng,55998
VALOR - Veterans Alliance of Orange County Issues Committee, Yes on Measure B, sponsored by Heritage Fields El Toro, LLC. Committee major funding from Heritage Fields El Toro, LLC,55000
San Luis Obispo County Progressives Democratic Club,55000
Home Financial Helper No Cost Solar Program,55000
Aitken for Anaheim Mayor 2018, FPPC ID# 139674,55000
the committee to elect Bryen Wright for Apple Valley town council,54000
California Charter Schools Association ,54000
Welcome.us,53743
contributions to Novin For Walnut Creek City Council 2018 – FPPC# 1406916,52999
Kenneth Mejia for Congress,52999
Jim Hester,52000
Brandon Barnes for Sutter County Sheriff 2018,52000
Andrea Marr for Costa Mesa,52000
Anaheim Firefighters Association,52000
Aisha Wahab for Hayward City Council 2018 FPPC ID: 1402606,52000
The Nib,51118
Voto Latino,51000
The Office of Congressman Tony Cárdenas,51000
Sydne Michel for Judge 2018,51000
Jason Perez for CalPERS Board 2018,51000
City of Pomona ,51000
Amanda Rigby for State Assembly 2018 FPPC #1402552,51000
Ron Rowlett for Mayor #1408984,50997
Providence St Joseph Health,50020
The Humanitarian Programs Department of the Church of Scientology International,50000
Regent Wealth Management,50000
Miessner for Council  2018 FPPC#1402675,50000
the Office of Congresswoman Jackie Speier,49999
Office of Rep. Raul Ruiz, M.D.,49992
Paid for by Jeff Sheehy for Supervisor June 2018. Financial disclosures are available at the San Francisco Ethics Commission website.,49893
Los Angeles Forward –  Councilmember Mike Bonin’s Ballot Measure Committee 777 S. Figueroa Street, Suite 4050 Los Angeles, CA 90017 ,49499
Giving Brush LLC,49283
New Way California,49000
Matt Gallaway for Chico City Council,49000
Committe Narvaez For Napa City Council 2018,49000
Donald J. Trump for President, Inc.,48125
Local 3299,48000
Karina Dominguez for Milpitas City Council 2018 FPPC# 1405693,48000
Rishi Kumar for Council 2018 (FPPC Id 1364692),47999
SameSide,47895
Scott Schmidt For Assembly 2018 #1406972,47000
Kitzes for Mayor 2018 Committee,47000
ALLIANCE OF AUTOMOBILE MANUFACTURERS,46887
Brian Payton for Eureka City School Board,46792
International Rescue Committee,46357
Family Preservation Foundation, Inc.,46053
Gordon Mar for Supervisor 2018. FPPC# 1406921,46000
AMERICAN FUTURE FUND. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. ,46000
Citizens for Ethical Representation,45996
NARAL Pro-Choice California,45846
Good Jobs Nation,45531
Good Media Group,45447
Airbnb,45375
Tracy Residents First,45000
Steve McShane for Salinas City Council,45000
Mountain View Tenants Coalition FPPC #1385025,45000
Greenpower,45000
Citizens Against Corruption,45000
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,44694
San Gabriel Valley Consortium on Homelessness,44000
Ostrander for Assembly,44000
Jovanka Beckles for State Assembly 2018 FPPC #1396341,44000
Secure Sonoma,43991
Indivisible Action,42713
stasher,42512
Khojasteh for a Changed Congress FEC #C00658534,42000
Friends of Wolf Croskey for Pittsburg City Council 2018,42000
Kasey Reynolds for City Council 2018,41928
Serve America Movement,41400
The American Tort Reform Association,41000
Supporters of Chad Bianco for Sheriff,40998
National Loan Programs,40992
the committee to elect Morrison and Jones.,40000
Wells for Mayor 2018 ,40000
Vincent Salimi 2018 Council Committe FPPC # 1408893,40000
Paid for and authorized by the San Diego County Democratic Party  |   FPPC ID# 741906   |   FEC ID# C00402826,40000
Office of Congresswoman Barbara Lee,40000
Neighbors for Judy Appel for Assembly 2018. FPPC # 1397430,40000
Environmental Progress,40000
Cate for City Council 2018,40000
The Scott Hill Group,39000
Mike Levin for Congress,38039
Keep and Bear,38002
Tony Kelly for Supervisor 2018 FPPC #1399091,38000
Nathan Fletcher for Supervisor 2018,37994
Ackley for City Council 2018, FPPC 1397263,37989
Turlock City News,37000
Lori Frugoli for Marin DA 2018,37000
Equality California,37000
Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, Sponsored by Teachers and School Employee Organizations. Committee major funding from California Teachers Association, California Federation of Teachers, and California School Employees Association. Not authorized by a candidate or a committee controlled by a candidate.,36999
World Food Program USA,36868
Dr. Jen Campbell for City Council 2018,35998
Jim Patterson,35983
San Francisco Parent PAC. Financial disclosures are available at sfethics. This advertisement was not authorized or paid for by a candidate for this office or a committee controlled by a candidate for this office.,35980
Sold Blue Strategies - a liberal media and video content company,35000
J. Caleb Donner FPPC# 1402646,35000
Indivisible Project and not authorized by any candidate or candidate's committee.,35000
Mike Bonin for City Council 2013 Officeholder account. 777 S. Figueroa St. Ste 4050 Los Angeles, CA 90017. Additional information at ethics.lacity.org. NOT PAID FOR AT TAXPAYER EXPENSE. ,34995
Niki Solis for Judge, Maria Evangelista for Judge, & Phoenix Streets for Judge.,34977
the Committee to Elect Robert Perez for Moorpark School Board 2018 #1370824,34000
Mayne for District Attorney 2018 FPPC 1398680,34000
Keep Santa Monica Local.,34000
Audrey Denney for Congress,33982
Service Employees International Union,33668
Shawn Mulchay for City Council 2018,33000
No On Measure X,33000
GV Wire,33000
Chronic Disease Coalition,33000
Charlie Michelson for City Council 2018,33000
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,32244
Rita Topalian for Senate 32 Special Election 2018 - FPPC ID: 1405928,32000
Mitch Caldwell for City Council 2018,32000
Joe Morgan for City Council,32000
Friends of Esther Lemus for Town Council (FPPC ID # 1406798),32000
The Years Project,31198
Women's March LA ,31000
Nikki Fortunato Bas for Oakland City Council 2018,31000
Modesto Irrigation District,31000
Mia Bonta for Alameda School Board 2018,31000
Jenny Kassan for Fremont City Council District 3,31000
Cadiz Inc.,31000
CD1 Alliance FEC#C00656348 Not endorsed by any candidate or any candidate's committee. ,30997
UDW Home Care Providers Union,30860
Jeff Merkley for Oregon,30682
the Nature Conservancy,30000
official funds authorized by the House of Representatives.,30000
VALOR - Veterans Alliance of Orange County Issues Committee,30000
The Swamp Accountability Project and not authorized by any candidate or candidate committee.,30000
Service Employees International Union-United Healthcare Workers West (SEIU-UHW),30000
DR. WRIGHT FOR CONGRESS,30000
Angry Democrat, a JFK/MLK conservative voice dedicated to debate conventional wisdom.,30000
Armenian National Committee of America-Western Region,29999
The Hill,29814
Joe Kennedy for Congress.,29038
Whittier City Councilman Henry Bouchot,29000
Oscar Valdez for Auditor - Controller / Treasurer / Tax Collector 2018 #1394466,29000
Henry Alexander III for Sunnyvale City Council 2018,29000
Geoff Ellsworth 4 Mayor,29000
Ernesto Bejarano for ARUSD Board 2018 FPPC #1404600,29000
Best Care Tax & Insurance,28894
RESTORE OUR VALUES, AN INDEPENDENT COMMITTEE SUPPORTING JOHN COX FOR GOVERNOR 2018,28000
Marie Blankley for City Council 2018,28000
Flodine for City Council 2018 #1404343,28000
Dr. Gutierrez for Mayor 2018,28000
United Latinx Fund,27999
the NRCC and not authorized by any candidate or candidate's committee.,27660
Boredom Therapy LLC,27446
Friends of Bernie Sanders,27309
Tom Steyer,27068
The Nature Conservancy,27019
Pamela Harris for Oakland City Council 2018,27000
Headline Shirts,27000
Citizens to Elect Bruce Houdesheldt Roseville City Council 2018,27000
Charlene Metoyer for NMUSD Trustee Area 2 2018 • FPPC #1366906,27000
California Chronic Care Coalition,27000
Friends of Dr Kevin McNamee for City Council 2018 CA FPPC: 1406501,26996
Golden California Committee sponsored by the SEIU California State Council. 1130 K Street Suite 300 Sacramento, CA 95814. Not authorized by any candidate or candidate’s committee.,26955
Kayla Jones for Seaside Mayor 2018,26864
Alaska Wilderness League,26187
factboxdottv an independent news and opinion organization,26000
San Francisco Bay Times,26000
Mike Sannella for San Marcos City Council, District 2 ,26000
Mendoza for Senate 2018 #1373700,26000
Masson for City Council 2018,26000
James Ramos for Assembly,26000
Dr. Gutierrez for Mayor 2016,26000
A concerned citizen of California,26000
MoveOn.org Civic Action.,25999
Surviving Sacramento - Community Organization,25997
Jess Phoenix for Congress,25997
Alfred Twu for Berkeley City Council 2018, FPPC 1400769,25959
Rainforest Action Network,25787
League of Conservation Voters,25472
Circa,25176
San Francisco Department of the Environment,25000
Rudy Salas for Assembly 2018,25000
Lamar Thorpe Antioch City Council,25000
Humane Society Legislative Fund,25000
Hartnell College,25000
Assemblymember Jim Cooper,25000
World Wildlife Fund,24963
Progressive Caucus PAC,24476
Service Employees International Union — United Healthcare Workers West Political Issues Committee,24000
Roy Zimmerman,24000
Reality Alert,24000
RISE San Diego,24000
Paid for by Evelyn Mitchell for City Council 2018, FPPC#1404176,24000
Nazarian for Assembly 2018 ID #1392480,24000
Loren Taylor for Oakland City Council,24000
John Kelly for Santa Rosa Junior College • FPPC ID 1400824,24000
 Assemblyman Jordan Cunningham,24000
Alexandria Ocasio-Cortez 2018,23854
The Poor People's Campaign: A National Call for Moral Revival,23847
MJ for Texas,23737
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,23644
No Kid Hungry,22616
Protect Life a project of the California Catholic Conference, Inc.,22000
Fight Back California PAC,22000
Dwyer for Aliso Viejo City Council 2018, FPPC ID# 1405349,22000
Cory Wolbach for Council 2018 FPPC 1404394,22000
Cindy Hendrickson for Judge,22000
Aparna Madireddi for San Ramon City Council 2018 FPPC # 1404460,22000
Angry Democrat to encourage bi-partisan debate of issues presented in the Spirit of Wiley College's National Championship  Debate Teams 1934 - 1944,22000
Alcohol Justice,22000
CRTV,21999
Polk "Cat Brooks" for Oakland Mayor 2018 #1405474,21995
Contra Costa Young Democrats. FPPC #1361702. ,21920
the Committee of Grace Espindola for Yuba City Council, 2018,21857
Bloomberg Philanthropies,21381
Zimmer for Kern County District Attorney 2018,21000
Sabrina Cervantes for Assembly - FPPC ID# 1392561,21000
Long Beach City Auditor,21000
Kalen Gallagher for San Jose City Council District 9 2018 | FPPC #1396162,21000
Jeff Griffith for State Senate 2018 FPPC #1402219,21000
Harrington for AV council #1362113,21000
Committee to Elect Steve Woods Visalia City Council Dist 3 2018,21000
Committee to Elect Michael Dacquisto to Redding City Council 2018,21000
Central Valley Citizens for Responsible Government,21000
Burbank Firefighters Local #778 ,21000
 Friends of Los Banos: Yes on H FPPC ID # 1411346,21000
Seth Moulton for Congress,20999
The United Democratic Club,20778
Sierra Nevada Revolution,20587
World Peace Placards,20000
Steve Espinosa For City Council,20000
Stephanie Ahmad for Windsor School Board 2018,20000
MORENO FOR SERVICES DISTRICT BOARD 2018 FPPC #1397770,20000
Leadership Institute,20000
Kern Citizens for Energy,20000
Job Creators Network,20000
In the Public Interest,20000
HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,20000
Friends of SDSU, Yes on Measure G, a coalition of SDSU alumni, business and community leaders. Committee major funding from Jack McGrory  Edward Brown Frederic Luddy,20000
Elizabeth Heng For Congress,20000
Elect Ingram for City Council 2018,20000
Dose Refugees - an independent entitity not affiliated with any particular government organization within and/or outside the United States.,20000
DeAnda for Mayor 2018,20000
Brian L. Bonner,20000
Brian Gutierrez for West Covina City Council, District 2,20000
Asian Pacific Environmental Network,20000
The American Project,19984
Olsen for Grossmont-Cuyamaca Community College Board Trustee 2018,19940
Proud Right Winger,19683
Cheddar,19271
Mic,19265
Texas Public Policy Foundation ,19071
Tomas Ursua,19000
Stanford Health Care,19000
Rudy Peters for Congress,19000
Rescue Our Waterfront PAC #1387229,19000
RCCD Faculty Association,19000
Paul Graves for District Attorney, FPPC 1396632,19000
Association of California Cities-Orange County,19000
Americans For Safe Neighborhoods,19000
California Republican Party www.cagop.org,18854
Environmental Defense Fund,18674
Matt Hall for Mayor 2018,18501
the Democratic Governors Association.,18464
Ruth Musser-Lopez for CA Senate 2018 ID#1403226,18000
Rodriguez for City Council 2018 #1401495,18000
Mirror Media Group,18000
Kern Cast Media,18000
John Sellers,18000
JD Buckwell-Triggered Patriot,18000
Center for Biological Diversity,17982
NBCUniversal Media, LLC,17306
DoSomething,17084
The Apple Valley Professional Firefighters Association,17000
Serrano For City Council 2018 ID#1408438,17000
Santa Cruz Indivisible,17000
Santa Ana Police Officers' Association Independent Expenditure Committe ,17000
Rosa Reynoza For Windsor Town Council 2018, Committee #1403424,17000
Our Health California,17000
Mayor Christopher Cabaldon Committee,17000
Lead on Climate Marin,17000
Dr. Jose Moreno for Anaheim City Council 2018, FPPC#1384038,17000
Coolidge City Council 2018 FPPC#1362012,17000
Californians for Equitable Energy Choice,17000
the American Heart Association,16993
Turning Point USA,16794
Greenpeace USA,16582
Young America's Foundation,16537
