Our Next America,"[25276, 50551]"
Jordan for Governor,"[0, 17]"
YallPolitics,"[0, 15]"
Parks Project,"[0, 15]"
Martin Heinrich,"[0, 15]"
Democrats,"[0, 14]"
CARE,"[0, 13]"
Kate Brophy McGee - State Senate,"[0, 12]"
Tony Evers,"[0, 11]"
USA for UNHCR,"[0, 9]"
Senator Paul Feeney,"[0, 9]"
Diane Mitsch Bush for Colorado CD3,"[0, 9]"
Laura Kelly,"[0, 8]"
Jennifer Benson for NC House,"[0, 8]"
Jay Inslee,"[0, 8]"
Maple Heights African American Gazette,"[0, 7]"
FreedomWorks,"[0, 7]"
Pi Yoga Pants,"[0, 5]"
Gary Broderick for School Board Member,"[0, 5]"
EMILY's List,"[0, 5]"
ASMDSS,"[0, 5]"
Everytown for Gun Safety,"[0, 4]"
ClubResist,"[0, 3]"
Adam Greenberg for Senate,"[0, 3]"
JoyAnn Ruscha for RTD District B,"[0, 2]"
Democratic Senatorial Campaign Committee (DSCC),"[0, 2]"
Lee O. Savage For Mayor of Shreveport,"[0, 1]"
