JB Pritzker,"[437000, 998971]"
Lyndsay Bloomfield for McLean County Board - D9,"[0, 999]"
Larry Spaeth For McHenry County Board,"[0, 999]"
Kevin B. Morrison for Cook County Commissioner,"[0, 999]"
Judge Christy Bishop,"[0, 999]"
Judge Chris Stride,"[0, 999]"
Joseph Loundy Human Rights Project,"[0, 999]"
Jim Root for Sheriff,"[0, 999]"
Jessica Ellison Thomas for Madison County Board - District 5,"[0, 999]"
"Gandolfo ""Randy"" Messina & Peter A. Jakab-1st Ward Aldermen","[0, 999]"
Friends of Old Plank Trail,"[0, 999]"
Elect Keith Jones Franklin County Treasurer,"[0, 999]"
Elect Brandon C. Hovey for Tazewell County Board District 2,"[0, 999]"
DuPage Libertarians,"[0, 999]"
Dempsey for Judge,"[0, 999]"
DeWitte for Illinois Senate,"[0, 999]"
Darlene Kloeppel for County Executive,"[0, 999]"
Christa Helmuth for Moultrie County Circuit Clerk,"[0, 999]"
Chris Miller for State Representative - 110th District,"[0, 999]"
Chris Guy,"[0, 999]"
Blaine Wilhour for State Representative 107th District,"[0, 999]"
Associated Fire Fighters of Illinois,"[0, 999]"
Amanda Yu Dieterich,"[0, 999]"
Alyssia Benford for IL State Representative,"[0, 999]"
Charles Brandon Brown for Jackson County Board Dist. 2,"[0, 881]"
Gina Walkington,"[0, 819]"
State Representative Sheri Jesiel,"[0, 719]"
Chris Pappas for Congress,"[0, 642]"
Framed Tweets,"[0, 607]"
Exclusive Apparel,"[0, 590]"
American Jewish World Service - AJWS,"[0, 408]"
Elect Rogers Kirk Jr.,"[0, 335]"
Politicon,"[0, 333]"
Scott Nelson for Dubuque County Attorney,"[0, 278]"
Science for Humans and Freedom Institute,"[0, 257]"
A Better Mt. Pleasant,"[0, 253]"
Divided We Stand,"[0, 230]"
National Network of Abortion Funds,"[0, 161]"
Katica Roy,"[0, 154]"
Phil Bredesen,"[0, 153]"
Conservative Mama PhD,"[0, 130]"
CARE,"[0, 114]"
Priorities USA Action,"[0, 111]"
Mercy Corps,"[0, 96]"
Clearing out the Clutter,"[0, 88]"
Power In Cooperation,"[0, 80]"
PCCC - BoldProgressives.org,"[0, 78]"
Coverage of the Trump Presidency by The Epoch Times,"[0, 75]"
Ro Khanna,"[0, 73]"
Pi Yoga Pants,"[0, 73]"
Curds,"[0, 73]"
AFGE,"[0, 65]"
DiversityInc,"[0, 63]"
I Vote Because,"[0, 58]"
Greenpeace USA,"[0, 56]"
Blue Wave,"[0, 52]"
David Baria for Mississippi,"[0, 48]"
Turning Point USA,"[0, 47]"
Parks Project,"[0, 47]"
Chris Murphy,"[0, 47]"
Armed American Supply,"[0, 45]"
Make HIM Great,"[0, 43]"
Jon Tester,"[0, 41]"
Your Trump Shop,"[0, 40]"
PrintedKicks,"[0, 38]"
Mathews for Judge,"[0, 37]"
CRTV Tonight with Gavin McInnes,"[0, 34]"
Justice Democrats,"[0, 31]"
Jose Aristimuño,"[0, 28]"
Human Rights Campaign,"[0, 24]"
Giving Brush,"[0, 19]"
Laura Kelly,"[0, 17]"
Mallory Hagan for Congress,"[0, 15]"
Guardian Labs,"[0, 15]"
Jennifer Benson for NC House,"[0, 12]"
Animal Matters,"[0, 10]"
Mike Cierpiot,"[0, 8]"
Yorgan for Congress,"[0, 7]"
Tim Barnsback for NC House,"[0, 5]"
Protect CA Health Care,"[0, 3]"
Drew Christensen,"[0, 3]"
David Thomas for County Auditor,"[0, 2]"
