the Democratic National Committee,7263
Trust Women,221
Elizabeth for MA,221
National Education Association,219
the National Education Association,211
Stacey Abrams for Governor,211
Defenders of Wildlife,211
the White Coat Waste Project, Inc,210
Science for Humans and Freedom Institute,208
45 Hats,200
Oceana,199
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,196
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,196
Lebowski Lovers,193
Bottlepops USA,192
Reform California,189
Josh Gottheimer for Congress,187
Shout Your Abortion,182
Alliance for a Better Minnesota Action Fund,182
The Leadership Conference Education Fund,180
Congressional Leadership Fund,179
Comedy Central,177
Mallory Hagan for Congress,176
Environmental Voter Project,176
Penzeys,175
the DSCC,173
Lauren Underwood for Congress,172
WeThePeopleHolsters ,169
International Rescue Committee,167
Rosen for Nevada,164
Sierra Club,163
SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.   ,163
Politicon,163
Kentucky Family Values,163
Zya, Inc. ,161
Zephyr for NY,160
James Thompson for Kansas,160
EMILY's List,157
Amnesty International USA,156
Polis for Colorado,155
Kanew for Congress,154
Silicon Valley Community Foundation,153
the Coalition to Defeat Question 3,152
The American Tort Reform Association,152
Human Rights Campaign,147
4Ocean, LLC,145
USA for UNHCR,144
Family Policy Alliance,143
Martin Heinrich for Senate,141
and Authorized by  Andrew Janz for Congress.,137
Reform Austin, Inc. ,136
New York State SRCC,136
Greenpeace USA,134
ASMDSS, Inc,133
Human Rights Watch,130
Paid for by Carton Council,129
Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624,129
Cynthia for New York.,128
National Solar Rebate,123
Conservative Gear,123
Working Families Party,122
The Leadership Conference on Civil and Human Rights ,122
Our Colorado Values Independent Expenditure Committee; Ashley Stevens registered agent. Not authorized by any candidate.,122
Our Schools Now,120
Trade for America,119
Tim Bjorkman for South Dakota, Dr. Tom Ortman, Treas.,117
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,116
National Rural Electric Association,115
Adam Schiff for Congress,115
World Wildlife Fund,114
Yes! To Affordable Groceries ,113
Andy Kim for Congress,113
Michigan Leadership Committee. Not authorized by any candidate.,110
Harder for Congress,110
Priorities USA Action. 202-904-0620. Not authorized by any candidate or candidate’s committee.,109
Collier for Lt. Governor ,107
Modern Medicaid Alliance,106
Daily Wire,106
VICELAND,104
Kulkarni for Congress,104
NRSC and not authorized by any candidate or candidate’s committee,102
Boredom Therapy LLC,102
Welcome.us,100
TheBlaze,98
Catholic Relief Services,98
Cam 4 Congress, PO Box 1010 Waimanalo, HI 96795,98
Brent Yonts Campaign,98
Keep and Bear,97
Water Lifestyle Co.,96
California Teachers Association,96
Business Forward,95
Justice Democrats, not authorized by any candidate or candidate's committee.,94
Tina Smith for Minnesota,93
Respect Workers, Respect Voters,93
Montanans for Tester,93
The Hospital & Healthsystem Association of Pennsylvania,91
Armed American Supply,90
SFT2 Tactical Supply,89
Bill & Melinda Gates Foundation,89
Friends of Chris Murphy,88
Donnelly for Indiana,88
Real Justice PAC and not authorized by any candidate or candidate's committee.,87
ConocoPhillips Company,87
Live Nation Concerts,86
Proud Right Winger,85
Union Workers Have Rights ,84
Coloradans for Fairness,84
Brill For Congress,84
Bird + Stone ,84
DIANE FOR COLORADO CD3,83
Scamazon,82
Keystone Energy Efficiency Alliance (KEEA),82
Andrew Gillum, Democrat, for Governor,82
SOLAR ENERGY TODAY,81
Foundation for Economic Education,81
Cort Vanostran for Congress,81
Pol. Ad Texans for Greg Abbott,80
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,79
Tammy Baldwin for Senate,79
Priorities USA Action. Not paid for or authorized by any candidate.,79
HPAE - Health Professionals & Allied Employees,79
Animal Matters,79
Organizing for Action,78
The Colorado Way,77
Environmental Defense Action Fund,77
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,77
Nick Josefowitz for Supervisor 2018,76
NRATV,76
Mercy For Animals,76
Johnson For Governor,76
Circa,76
"Electing Emma" for Adams County,76
No Kid Hungry,75
McCaskill for Missouri,74
League of Conservation Voters,74
Citizens for Rauner, Inc.,74
Center for American Progress,74
Rustic Edge Marketing,73
Nelson for Texas,73
John Carter for Congress,73
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,72
New York State Senate Republican Campaign Committee,72
MJ for Texas,72
Theresa Gasper for Congress,71
Shareblue Media,71
PACRONYM. Not authorized by any candidate or candidate’s committee,71
Dahlkemper for Jeffco,71
The Wilderness Society,70
Florida Republican Senatorial Campaign Committee,70
Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.,69
and authorized by Janet Mills for Governor.,68
No Cuts to Care,68
Jumaane D. Williams,68
Heidi for North Dakota,68
Bill Nelson for U.S. Senate,68
Texans for Natural Gas,67
PragerU ,67
Coalition for Future Mobility,66
THE REPUBLICAN PARTY OF KENTUCKY. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE. 502.875.5130,65
NYS SRCC,65
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,65
Kate Brown Committee,65
Finance Watch Dogs,65
Ashtabula County Republican Party,65
Federation for American Immigration Reform,64
Chad Benson,64
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,64
the United Association and not authorized by any candidate or candidate's committee.,63
Turning Point USA,63
Pfizer,63
Patriot Depot,63
Yes for Affordable Housing,62
The Committee to Elect Alessandra Biaggi,62
Patagonia ,62
Larry Sharpe for Governor,62
Garnet Lewis for State Senate,62
Elect Kathy Hoffman for Superintendent,62
UnitedHealthcare,61
Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach,60
Defend Arizona. ,60
Buffy Wicks for Assembly 2018. FPPC #1396734,60
Blue Wave Voters,60
Association for Accessible Medicines,60
The Years Project,59
Friends of the North Branch Park & Nature Preserve,59
Friends of Dana Nessel ,59
Clean Energy for a Healthy Arizona,59
the League of Women Voters,58
The Arc,58
